N°;Secondes;Brut;Volts;Date
      0;     1; 71;1.426;Fri Dec 23 20:42:40 2016
    124;   108; 69;1.387;Fri Dec 23 20:44:27 2016
   2801;  2417; 68;1.367;Fri Dec 23 21:22:56 2016
   4766;  4111; 67;1.348;Fri Dec 23 21:51:10 2016
   5908;  5096; 66;1.328;Fri Dec 23 22:07:35 2016
   7922;  6833; 65;1.309;Fri Dec 23 22:36:32 2016
  13141; 11333; 64;1.289;Fri Dec 23 23:51:32 2016
  15050; 12979; 63;1.269;Sat Dec 24 00:18:58 2016
  27985; 24135; 61;1.230;Sat Dec 24 03:24:54 2016
  62143; 53592; 60;1.211;Sat Dec 24 11:35:51 2016
  67817; 58485; 59;1.191;Sat Dec 24 12:57:24 2016
  82690; 71311; 58;1.172;Sat Dec 24 16:31:10 2016
  85782; 73977; 55;1.113;Sat Dec 24 17:15:36 2016
  92146; 79466; 54;1.094;Sat Dec 24 18:47:05 2016
  92146; 79466; 54;1.094;Sat Dec 24 18:47:05 2016
