N°;Secondes;Brut;Volts;Date
    138;   120; 67;1.348;Sun Dec 18 10:27:59 2016
    277;   240; 67;1.348;Sun Dec 18 10:29:59 2016
    416;   360; 66;1.328;Sun Dec 18 10:31:59 2016
    555;   480; 66;1.328;Sun Dec 18 10:33:59 2016
    694;   600; 66;1.328;Sun Dec 18 10:35:59 2016
    833;   720; 66;1.328;Sun Dec 18 10:37:59 2016
    973;   840; 66;1.328;Sun Dec 18 10:39:59 2016
   1112;   960; 66;1.328;Sun Dec 18 10:41:59 2016
   1251;  1080; 66;1.328;Sun Dec 18 10:43:59 2016
   1390;  1200; 66;1.328;Sun Dec 18 10:45:59 2016
   1529;  1320; 66;1.328;Sun Dec 18 10:47:59 2016
   1668;  1440; 66;1.328;Sun Dec 18 10:49:59 2016
   1807;  1560; 65;1.309;Sun Dec 18 10:51:59 2016
   1947;  1680; 65;1.309;Sun Dec 18 10:53:59 2016
   2086;  1800; 65;1.309;Sun Dec 18 10:55:59 2016
   2225;  1920; 65;1.309;Sun Dec 18 10:57:59 2016
   2364;  2040; 65;1.309;Sun Dec 18 10:59:59 2016
   2503;  2160; 65;1.309;Sun Dec 18 11:01:59 2016
   2643;  2280; 65;1.309;Sun Dec 18 11:03:59 2016
   2782;  2400; 65;1.309;Sun Dec 18 11:05:59 2016
   2921;  2520; 65;1.309;Sun Dec 18 11:07:59 2016
   3060;  2640; 65;1.309;Sun Dec 18 11:09:59 2016
   3199;  2760; 65;1.309;Sun Dec 18 11:11:59 2016
   3338;  2880; 65;1.309;Sun Dec 18 11:13:59 2016
   3478;  3000; 65;1.309;Sun Dec 18 11:15:59 2016
   3616;  3120; 65;1.309;Sun Dec 18 11:17:59 2016
   3755;  3240; 65;1.309;Sun Dec 18 11:19:59 2016
   3895;  3360; 65;1.309;Sun Dec 18 11:21:59 2016
   4034;  3480; 65;1.309;Sun Dec 18 11:23:59 2016
   4173;  3600; 65;1.309;Sun Dec 18 11:25:59 2016
   4312;  3720; 65;1.309;Sun Dec 18 11:27:59 2016
   4451;  3840; 65;1.309;Sun Dec 18 11:29:59 2016
   4591;  3960; 64;1.289;Sun Dec 18 11:31:59 2016
   4730;  4080; 65;1.309;Sun Dec 18 11:33:59 2016
   4869;  4200; 65;1.309;Sun Dec 18 11:35:59 2016
   5008;  4320; 64;1.289;Sun Dec 18 11:37:59 2016
   5147;  4440; 64;1.289;Sun Dec 18 11:39:59 2016
   5286;  4560; 64;1.289;Sun Dec 18 11:41:59 2016
   5426;  4680; 64;1.289;Sun Dec 18 11:43:59 2016
   5565;  4800; 64;1.289;Sun Dec 18 11:45:59 2016
   5704;  4920; 64;1.289;Sun Dec 18 11:47:59 2016
   5843;  5040; 64;1.289;Sun Dec 18 11:49:59 2016
   5982;  5160; 64;1.289;Sun Dec 18 11:51:59 2016
   6122;  5280; 64;1.289;Sun Dec 18 11:53:59 2016
   6261;  5400; 64;1.289;Sun Dec 18 11:55:59 2016
   6400;  5520; 64;1.289;Sun Dec 18 11:57:59 2016
   6539;  5640; 64;1.289;Sun Dec 18 11:59:59 2016
   6678;  5760; 64;1.289;Sun Dec 18 12:01:59 2016
   6818;  5880; 64;1.289;Sun Dec 18 12:03:59 2016
   6957;  6000; 64;1.289;Sun Dec 18 12:05:59 2016
   7096;  6120; 64;1.289;Sun Dec 18 12:07:59 2016
   7235;  6240; 64;1.289;Sun Dec 18 12:09:59 2016
   7374;  6360; 64;1.289;Sun Dec 18 12:11:59 2016
   7513;  6480; 64;1.289;Sun Dec 18 12:13:59 2016
   7653;  6600; 64;1.289;Sun Dec 18 12:15:59 2016
   7791;  6720; 64;1.289;Sun Dec 18 12:17:59 2016
   7930;  6840; 64;1.289;Sun Dec 18 12:19:59 2016
   8070;  6960; 64;1.289;Sun Dec 18 12:21:59 2016
   8209;  7080; 64;1.289;Sun Dec 18 12:23:59 2016
   8348;  7200; 64;1.289;Sun Dec 18 12:25:59 2016
   8487;  7320; 64;1.289;Sun Dec 18 12:27:59 2016
   8626;  7440; 64;1.289;Sun Dec 18 12:29:59 2016
   8765;  7560; 64;1.289;Sun Dec 18 12:31:59 2016
   8905;  7680; 64;1.289;Sun Dec 18 12:33:59 2016
   9043;  7800; 64;1.289;Sun Dec 18 12:35:59 2016
   9182;  7920; 64;1.289;Sun Dec 18 12:37:59 2016
   9321;  8040; 64;1.289;Sun Dec 18 12:39:59 2016
   9461;  8160; 64;1.289;Sun Dec 18 12:41:59 2016
   9600;  8280; 64;1.289;Sun Dec 18 12:43:59 2016
   9739;  8400; 64;1.289;Sun Dec 18 12:45:59 2016
   9877;  8520; 64;1.289;Sun Dec 18 12:47:59 2016
  10017;  8640; 64;1.289;Sun Dec 18 12:49:59 2016
  10156;  8760; 64;1.289;Sun Dec 18 12:51:59 2016
  10295;  8880; 64;1.289;Sun Dec 18 12:53:59 2016
  10434;  9000; 64;1.289;Sun Dec 18 12:55:59 2016
  10573;  9120; 64;1.289;Sun Dec 18 12:57:59 2016
  10712;  9240; 64;1.289;Sun Dec 18 12:59:59 2016
  10851;  9360; 64;1.289;Sun Dec 18 13:01:59 2016
  10990;  9480; 64;1.289;Sun Dec 18 13:03:59 2016
  11129;  9600; 64;1.289;Sun Dec 18 13:05:59 2016
  11268;  9720; 64;1.289;Sun Dec 18 13:07:59 2016
  11407;  9840; 64;1.289;Sun Dec 18 13:09:59 2016
  11546;  9960; 64;1.289;Sun Dec 18 13:11:59 2016
  11685; 10080; 64;1.289;Sun Dec 18 13:13:59 2016
  11824; 10200; 64;1.289;Sun Dec 18 13:15:59 2016
  11963; 10320; 64;1.289;Sun Dec 18 13:17:59 2016
  12102; 10440; 64;1.289;Sun Dec 18 13:19:59 2016
  12241; 10560; 64;1.289;Sun Dec 18 13:21:59 2016
  12380; 10680; 64;1.289;Sun Dec 18 13:23:59 2016
  12520; 10800; 64;1.289;Sun Dec 18 13:25:59 2016
  12659; 10920; 64;1.289;Sun Dec 18 13:27:59 2016
  12798; 11040; 64;1.289;Sun Dec 18 13:29:59 2016
  12937; 11160; 64;1.289;Sun Dec 18 13:31:59 2016
  13076; 11280; 64;1.289;Sun Dec 18 13:33:59 2016
  13215; 11400; 64;1.289;Sun Dec 18 13:35:59 2016
  13354; 11520; 64;1.289;Sun Dec 18 13:37:59 2016
  13493; 11640; 64;1.289;Sun Dec 18 13:39:59 2016
  13633; 11760; 64;1.289;Sun Dec 18 13:41:59 2016
  13771; 11880; 64;1.289;Sun Dec 18 13:43:59 2016
  13910; 12000; 64;1.289;Sun Dec 18 13:45:59 2016
  14049; 12120; 64;1.289;Sun Dec 18 13:47:59 2016
  14188; 12240; 64;1.289;Sun Dec 18 13:49:59 2016
  14328; 12360; 64;1.289;Sun Dec 18 13:51:59 2016
  14467; 12480; 64;1.289;Sun Dec 18 13:53:59 2016
  14606; 12600; 64;1.289;Sun Dec 18 13:55:59 2016
  14745; 12720; 64;1.289;Sun Dec 18 13:57:59 2016
  14884; 12840; 63;1.269;Sun Dec 18 13:59:59 2016
  15023; 12960; 64;1.289;Sun Dec 18 14:01:59 2016
