N°;Secondes;Brut;Volts;Date
    138;   120; 66;1.328;Mon Dec 19 07:52:04 2016
    277;   240; 66;1.328;Mon Dec 19 07:54:04 2016
    416;   360; 65;1.309;Mon Dec 19 07:56:04 2016
    555;   480; 65;1.309;Mon Dec 19 07:58:04 2016
    695;   600; 65;1.309;Mon Dec 19 08:00:04 2016
    834;   720; 65;1.309;Mon Dec 19 08:02:04 2016
    973;   840; 65;1.309;Mon Dec 19 08:04:04 2016
   1112;   960; 64;1.289;Mon Dec 19 08:06:04 2016
   1251;  1080; 64;1.289;Mon Dec 19 08:08:04 2016
   1391;  1200; 64;1.289;Mon Dec 19 08:10:04 2016
   1529;  1320; 64;1.289;Mon Dec 19 08:12:04 2016
   1668;  1440; 64;1.289;Mon Dec 19 08:14:04 2016
   1808;  1560; 64;1.289;Mon Dec 19 08:16:04 2016
   1947;  1680; 64;1.289;Mon Dec 19 08:18:04 2016
   2086;  1800; 64;1.289;Mon Dec 19 08:20:04 2016
   2225;  1920; 64;1.289;Mon Dec 19 08:22:04 2016
   2363;  2040; 63;1.269;Mon Dec 19 08:24:04 2016
   2501;  2160; 63;1.269;Mon Dec 19 08:26:04 2016
   2641;  2280; 63;1.269;Mon Dec 19 08:28:04 2016
   2780;  2400; 63;1.269;Mon Dec 19 08:30:04 2016
   2919;  2520; 63;1.269;Mon Dec 19 08:32:04 2016
   3058;  2640; 63;1.269;Mon Dec 19 08:34:04 2016
   3197;  2760; 63;1.269;Mon Dec 19 08:36:04 2016
   3337;  2880; 63;1.269;Mon Dec 19 08:38:04 2016
   3476;  3000; 63;1.269;Mon Dec 19 08:40:04 2016
   3615;  3120; 63;1.269;Mon Dec 19 08:42:04 2016
   3754;  3240; 63;1.269;Mon Dec 19 08:44:04 2016
   3893;  3360; 63;1.269;Mon Dec 19 08:46:04 2016
   4032;  3480; 63;1.269;Mon Dec 19 08:48:04 2016
   4171;  3600; 63;1.269;Mon Dec 19 08:50:04 2016
   4310;  3720; 62;1.250;Mon Dec 19 08:52:04 2016
   4449;  3840; 62;1.250;Mon Dec 19 08:54:04 2016
   4588;  3960; 62;1.250;Mon Dec 19 08:56:04 2016
