N°;Secondes;Brut;Volts;Date
    139;   120; 67;1.348;Wed Dec 14 22:40:56 2016
    278;   240; 66;1.328;Wed Dec 14 22:42:56 2016
    417;   360; 66;1.328;Wed Dec 14 22:44:56 2016
    556;   480; 66;1.328;Wed Dec 14 22:46:56 2016
    696;   600; 66;1.328;Wed Dec 14 22:48:56 2016
    835;   720; 66;1.328;Wed Dec 14 22:50:56 2016
    974;   840; 66;1.328;Wed Dec 14 22:52:56 2016
   1113;   960; 66;1.328;Wed Dec 14 22:54:56 2016
   1252;  1080; 66;1.328;Wed Dec 14 22:56:56 2016
   1391;  1200; 66;1.328;Wed Dec 14 22:58:56 2016
   1530;  1320; 66;1.328;Wed Dec 14 23:00:56 2016
   1669;  1440; 66;1.328;Wed Dec 14 23:02:56 2016
   1809;  1560; 65;1.309;Wed Dec 14 23:04:56 2016
   1948;  1680; 65;1.309;Wed Dec 14 23:06:56 2016
   2086;  1800; 65;1.309;Wed Dec 14 23:08:56 2016
   2226;  1920; 65;1.309;Wed Dec 14 23:10:56 2016
   2365;  2040; 65;1.309;Wed Dec 14 23:12:56 2016
   2503;  2160; 65;1.309;Wed Dec 14 23:14:56 2016
   2642;  2280; 65;1.309;Wed Dec 14 23:16:56 2016
   2781;  2400; 65;1.309;Wed Dec 14 23:18:56 2016
   2920;  2520; 65;1.309;Wed Dec 14 23:20:56 2016
   3059;  2640; 65;1.309;Wed Dec 14 23:22:56 2016
   3199;  2760; 65;1.309;Wed Dec 14 23:24:56 2016
   3338;  2880; 65;1.309;Wed Dec 14 23:26:56 2016
   3477;  3000; 65;1.309;Wed Dec 14 23:28:56 2016
   3616;  3120; 65;1.309;Wed Dec 14 23:30:56 2016
   3755;  3240; 65;1.309;Wed Dec 14 23:32:56 2016
   3894;  3360; 65;1.309;Wed Dec 14 23:34:56 2016
   4034;  3480; 65;1.309;Wed Dec 14 23:36:56 2016
   4173;  3600; 65;1.309;Wed Dec 14 23:38:56 2016
   4312;  3720; 65;1.309;Wed Dec 14 23:40:56 2016
   4451;  3840; 65;1.309;Wed Dec 14 23:42:56 2016
   4590;  3960; 65;1.309;Wed Dec 14 23:44:56 2016
   4729;  4080; 65;1.309;Wed Dec 14 23:46:56 2016
   4869;  4200; 65;1.309;Wed Dec 14 23:48:56 2016
   5008;  4320; 65;1.309;Wed Dec 14 23:50:56 2016
   5147;  4440; 65;1.309;Wed Dec 14 23:52:56 2016
   5286;  4560; 65;1.309;Wed Dec 14 23:54:56 2016
   5425;  4680; 65;1.309;Wed Dec 14 23:56:56 2016
   5564;  4800; 64;1.289;Wed Dec 14 23:58:56 2016
   5703;  4920; 64;1.289;Thu Dec 15 00:00:56 2016
   5842;  5040; 64;1.289;Thu Dec 15 00:02:56 2016
   5982;  5160; 64;1.289;Thu Dec 15 00:04:56 2016
   6121;  5280; 64;1.289;Thu Dec 15 00:06:56 2016
   6260;  5400; 64;1.289;Thu Dec 15 00:08:56 2016
   6399;  5520; 64;1.289;Thu Dec 15 00:10:56 2016
   6538;  5640; 64;1.289;Thu Dec 15 00:12:56 2016
   6677;  5760; 64;1.289;Thu Dec 15 00:14:56 2016
   6817;  5880; 64;1.289;Thu Dec 15 00:16:56 2016
   6954;  6000; 64;1.289;Thu Dec 15 00:18:56 2016
   7094;  6120; 64;1.289;Thu Dec 15 00:20:56 2016
   7233;  6240; 64;1.289;Thu Dec 15 00:22:56 2016
   7372;  6360; 64;1.289;Thu Dec 15 00:24:56 2016
   7511;  6480; 64;1.289;Thu Dec 15 00:26:56 2016
   7650;  6600; 64;1.289;Thu Dec 15 00:28:56 2016
   7790;  6720; 64;1.289;Thu Dec 15 00:30:56 2016
   7929;  6840; 64;1.289;Thu Dec 15 00:32:56 2016
   8068;  6960; 64;1.289;Thu Dec 15 00:34:56 2016
   8207;  7080; 64;1.289;Thu Dec 15 00:36:56 2016
   8346;  7200; 64;1.289;Thu Dec 15 00:38:56 2016
   8485;  7320; 64;1.289;Thu Dec 15 00:40:56 2016
   8625;  7440; 64;1.289;Thu Dec 15 00:42:56 2016
   8764;  7560; 64;1.289;Thu Dec 15 00:44:56 2016
   8903;  7680; 64;1.289;Thu Dec 15 00:46:56 2016
   9042;  7800; 64;1.289;Thu Dec 15 00:48:56 2016
   9181;  7920; 64;1.289;Thu Dec 15 00:50:56 2016
   9321;  8040; 64;1.289;Thu Dec 15 00:52:56 2016
   9460;  8160; 64;1.289;Thu Dec 15 00:54:56 2016
   9599;  8280; 64;1.289;Thu Dec 15 00:56:56 2016
   9738;  8400; 64;1.289;Thu Dec 15 00:58:56 2016
   9877;  8520; 64;1.289;Thu Dec 15 01:00:56 2016
  10016;  8640; 64;1.289;Thu Dec 15 01:02:56 2016
  10156;  8760; 64;1.289;Thu Dec 15 01:04:56 2016
  10295;  8880; 64;1.289;Thu Dec 15 01:06:56 2016
  10434;  9000; 64;1.289;Thu Dec 15 01:08:56 2016
  10573;  9120; 64;1.289;Thu Dec 15 01:10:56 2016
  10712;  9240; 64;1.289;Thu Dec 15 01:12:56 2016
  10850;  9360; 64;1.289;Thu Dec 15 01:14:56 2016
  10989;  9480; 64;1.289;Thu Dec 15 01:16:56 2016
  11128;  9600; 64;1.289;Thu Dec 15 01:18:56 2016
  11267;  9720; 64;1.289;Thu Dec 15 01:20:56 2016
  11406;  9840; 64;1.289;Thu Dec 15 01:22:56 2016
  11545;  9960; 64;1.289;Thu Dec 15 01:24:56 2016
  11685; 10080; 64;1.289;Thu Dec 15 01:26:56 2016
  11824; 10200; 64;1.289;Thu Dec 15 01:28:56 2016
  11963; 10320; 64;1.289;Thu Dec 15 01:30:56 2016
  12102; 10440; 64;1.289;Thu Dec 15 01:32:56 2016
  12241; 10560; 64;1.289;Thu Dec 15 01:34:56 2016
  12380; 10680; 64;1.289;Thu Dec 15 01:36:56 2016
  12520; 10800; 64;1.289;Thu Dec 15 01:38:56 2016
  12659; 10920; 64;1.289;Thu Dec 15 01:40:56 2016
  12798; 11040; 64;1.289;Thu Dec 15 01:42:56 2016
  12937; 11160; 64;1.289;Thu Dec 15 01:44:56 2016
  13076; 11280; 64;1.289;Thu Dec 15 01:46:56 2016
  13216; 11400; 64;1.289;Thu Dec 15 01:48:56 2016
  13355; 11520; 64;1.289;Thu Dec 15 01:50:56 2016
  13494; 11640; 64;1.289;Thu Dec 15 01:52:56 2016
  13633; 11760; 64;1.289;Thu Dec 15 01:54:56 2016
  13772; 11880; 64;1.289;Thu Dec 15 01:56:56 2016
  13911; 12000; 63;1.269;Thu Dec 15 01:58:56 2016
  14051; 12120; 63;1.269;Thu Dec 15 02:00:56 2016
  14190; 12240; 63;1.269;Thu Dec 15 02:02:56 2016
  14329; 12360; 63;1.269;Thu Dec 15 02:04:56 2016
  14468; 12480; 64;1.289;Thu Dec 15 02:06:56 2016
  14607; 12600; 63;1.269;Thu Dec 15 02:08:56 2016
  14747; 12720; 63;1.269;Thu Dec 15 02:10:56 2016
  14886; 12840; 63;1.269;Thu Dec 15 02:12:56 2016
  15024; 12960; 63;1.269;Thu Dec 15 02:14:56 2016
  15164; 13080; 63;1.269;Thu Dec 15 02:16:56 2016
  15302; 13200; 63;1.269;Thu Dec 15 02:18:56 2016
  15441; 13320; 63;1.269;Thu Dec 15 02:20:56 2016
  15580; 13440; 63;1.269;Thu Dec 15 02:22:56 2016
  15720; 13560; 63;1.269;Thu Dec 15 02:24:56 2016
  15859; 13680; 63;1.269;Thu Dec 15 02:26:56 2016
  15998; 13800; 63;1.269;Thu Dec 15 02:28:56 2016
  16137; 13920; 63;1.269;Thu Dec 15 02:30:56 2016
  16276; 14040; 63;1.269;Thu Dec 15 02:32:56 2016
  16415; 14160; 63;1.269;Thu Dec 15 02:34:56 2016
  16554; 14280; 63;1.269;Thu Dec 15 02:36:56 2016
  16693; 14400; 63;1.269;Thu Dec 15 02:38:56 2016
  16832; 14520; 63;1.269;Thu Dec 15 02:40:56 2016
  16972; 14640; 63;1.269;Thu Dec 15 02:42:56 2016
  17111; 14760; 63;1.269;Thu Dec 15 02:44:56 2016
  17250; 14880; 63;1.269;Thu Dec 15 02:46:56 2016
  17389; 15000; 63;1.269;Thu Dec 15 02:48:56 2016
  17528; 15120; 63;1.269;Thu Dec 15 02:50:56 2016
  17668; 15240; 63;1.269;Thu Dec 15 02:52:56 2016
  17807; 15360; 63;1.269;Thu Dec 15 02:54:56 2016
  17946; 15480; 63;1.269;Thu Dec 15 02:56:56 2016
  18085; 15600; 63;1.269;Thu Dec 15 02:58:56 2016
  18224; 15720; 63;1.269;Thu Dec 15 03:00:56 2016
  18364; 15840; 63;1.269;Thu Dec 15 03:02:56 2016
  18503; 15960; 63;1.269;Thu Dec 15 03:04:56 2016
  18642; 16080; 63;1.269;Thu Dec 15 03:06:56 2016
  18781; 16200; 63;1.269;Thu Dec 15 03:08:56 2016
  18920; 16320; 63;1.269;Thu Dec 15 03:10:56 2016
  19059; 16440; 63;1.269;Thu Dec 15 03:12:56 2016
  19199; 16560; 63;1.269;Thu Dec 15 03:14:56 2016
  19338; 16680; 63;1.269;Thu Dec 15 03:16:56 2016
  19477; 16800; 63;1.269;Thu Dec 15 03:18:56 2016
  19616; 16920; 63;1.269;Thu Dec 15 03:20:56 2016
  19755; 17040; 63;1.269;Thu Dec 15 03:22:56 2016
  19894; 17160; 63;1.269;Thu Dec 15 03:24:56 2016
  20034; 17280; 63;1.269;Thu Dec 15 03:26:56 2016
  20173; 17400; 63;1.269;Thu Dec 15 03:28:56 2016
  20312; 17520; 63;1.269;Thu Dec 15 03:30:56 2016
  20451; 17640; 63;1.269;Thu Dec 15 03:32:56 2016
  20590; 17760; 63;1.269;Thu Dec 15 03:34:56 2016
  20730; 17880; 63;1.269;Thu Dec 15 03:36:56 2016
  20869; 18000; 63;1.269;Thu Dec 15 03:38:56 2016
  21008; 18120; 63;1.269;Thu Dec 15 03:40:56 2016
  21147; 18240; 63;1.269;Thu Dec 15 03:42:56 2016
  21286; 18360; 63;1.269;Thu Dec 15 03:44:56 2016
  21425; 18480; 63;1.269;Thu Dec 15 03:46:56 2016
  21565; 18600; 63;1.269;Thu Dec 15 03:48:56 2016
  21704; 18720; 63;1.269;Thu Dec 15 03:50:56 2016
  21843; 18840; 63;1.269;Thu Dec 15 03:52:56 2016
  21982; 18960; 63;1.269;Thu Dec 15 03:54:56 2016
  22121; 19080; 63;1.269;Thu Dec 15 03:56:56 2016
  22261; 19200; 63;1.269;Thu Dec 15 03:58:56 2016
  22400; 19320; 63;1.269;Thu Dec 15 04:00:56 2016
  22539; 19440; 63;1.269;Thu Dec 15 04:02:56 2016
  22678; 19560; 63;1.269;Thu Dec 15 04:04:56 2016
  22817; 19680; 63;1.269;Thu Dec 15 04:06:56 2016
  22956; 19800; 63;1.269;Thu Dec 15 04:08:56 2016
  23096; 19920; 63;1.269;Thu Dec 15 04:10:56 2016
  23235; 20040; 63;1.269;Thu Dec 15 04:12:56 2016
  23374; 20160; 63;1.269;Thu Dec 15 04:14:56 2016
  23513; 20280; 63;1.269;Thu Dec 15 04:16:56 2016
  23652; 20400; 63;1.269;Thu Dec 15 04:18:56 2016
  23791; 20520; 63;1.269;Thu Dec 15 04:20:56 2016
  23931; 20640; 63;1.269;Thu Dec 15 04:22:56 2016
  24070; 20760; 63;1.269;Thu Dec 15 04:24:56 2016
  24209; 20880; 63;1.269;Thu Dec 15 04:26:56 2016
  24348; 21000; 63;1.269;Thu Dec 15 04:28:56 2016
  24487; 21120; 63;1.269;Thu Dec 15 04:30:56 2016
  24626; 21240; 63;1.269;Thu Dec 15 04:32:56 2016
  24766; 21360; 63;1.269;Thu Dec 15 04:34:56 2016
  24905; 21480; 63;1.269;Thu Dec 15 04:36:56 2016
  25044; 21600; 63;1.269;Thu Dec 15 04:38:56 2016
  25183; 21720; 63;1.269;Thu Dec 15 04:40:56 2016
  25322; 21840; 63;1.269;Thu Dec 15 04:42:56 2016
  25461; 21960; 63;1.269;Thu Dec 15 04:44:56 2016
  25601; 22080; 63;1.269;Thu Dec 15 04:46:56 2016
  25740; 22200; 63;1.269;Thu Dec 15 04:48:56 2016
  25879; 22320; 63;1.269;Thu Dec 15 04:50:56 2016
  26018; 22440; 63;1.269;Thu Dec 15 04:52:56 2016
  26157; 22560; 63;1.269;Thu Dec 15 04:54:56 2016
  26297; 22680; 63;1.269;Thu Dec 15 04:56:56 2016
  26436; 22800; 62;1.250;Thu Dec 15 04:58:56 2016
  26575; 22920; 63;1.269;Thu Dec 15 05:00:56 2016
  26714; 23040; 62;1.250;Thu Dec 15 05:02:56 2016
  26853; 23160; 62;1.250;Thu Dec 15 05:04:56 2016
  26993; 23280; 62;1.250;Thu Dec 15 05:06:56 2016
  27132; 23400; 62;1.250;Thu Dec 15 05:08:56 2016
  27271; 23520; 62;1.250;Thu Dec 15 05:10:56 2016
  27410; 23640; 62;1.250;Thu Dec 15 05:12:56 2016
  27549; 23760; 62;1.250;Thu Dec 15 05:14:56 2016
  27688; 23880; 62;1.250;Thu Dec 15 05:16:56 2016
  27825; 24000; 62;1.250;Thu Dec 15 05:18:56 2016
  27964; 24120; 62;1.250;Thu Dec 15 05:20:56 2016
