N°;Secondes;Brut;Volts;Date
      0;     1; 66;1.328;Thu Dec 29 23:24:16 2016
    160;   139; 65;1.309;Thu Dec 29 23:26:34 2016
   1220;  1053; 64;1.289;Thu Dec 29 23:41:48 2016
   2070;  1786; 63;1.269;Thu Dec 29 23:54:01 2016
   5285;  4559; 62;1.250;Fri Dec 30 00:40:14 2016
   8835;  7620; 61;1.230;Fri Dec 30 01:31:15 2016
  18682; 16112; 60;1.211;Fri Dec 30 03:52:47 2016
  21108; 18205; 59;1.191;Fri Dec 30 04:27:40 2016
  23995; 20695; 57;1.152;Fri Dec 30 05:09:10 2016
  27254; 23507; 56;1.133;Fri Dec 30 05:56:02 2016
  28565; 24638; 55;1.113;Fri Dec 30 06:14:53 2016
  29032; 25043; 54;1.094;Fri Dec 30 06:21:38 2016
  29032; 25043; 54;1.094;Fri Dec 30 06:21:38 2016
