N°;Secondes;Brut;Volts;Date
    136;   120; 65;1.309;Wed Dec 14 14:23:04 2016
    275;   240; 65;1.309;Wed Dec 14 14:25:04 2016
    414;   360; 64;1.289;Wed Dec 14 14:27:04 2016
    554;   480; 64;1.289;Wed Dec 14 14:29:04 2016
    693;   600; 64;1.289;Wed Dec 14 14:31:04 2016
    832;   720; 64;1.289;Wed Dec 14 14:33:04 2016
    971;   840; 64;1.289;Wed Dec 14 14:35:04 2016
   1110;   960; 63;1.269;Wed Dec 14 14:37:04 2016
   1250;  1080; 63;1.269;Wed Dec 14 14:39:04 2016
   1389;  1200; 63;1.269;Wed Dec 14 14:41:04 2016
   1528;  1320; 63;1.269;Wed Dec 14 14:43:04 2016
   1667;  1440; 63;1.269;Wed Dec 14 14:45:04 2016
   1806;  1560; 62;1.250;Wed Dec 14 14:47:04 2016
   1945;  1680; 62;1.250;Wed Dec 14 14:49:04 2016
   2085;  1800; 62;1.250;Wed Dec 14 14:51:04 2016
   2224;  1920; 62;1.250;Wed Dec 14 14:53:04 2016
   2363;  2040; 62;1.250;Wed Dec 14 14:55:04 2016
   2502;  2160; 62;1.250;Wed Dec 14 14:57:04 2016
   2641;  2280; 62;1.250;Wed Dec 14 14:59:04 2016
   2781;  2400; 62;1.250;Wed Dec 14 15:01:04 2016
   2920;  2520; 62;1.250;Wed Dec 14 15:03:04 2016
   3059;  2640; 62;1.250;Wed Dec 14 15:05:04 2016
   3198;  2760; 62;1.250;Wed Dec 14 15:07:04 2016
   3337;  2880; 62;1.250;Wed Dec 14 15:09:04 2016
   3476;  3000; 62;1.250;Wed Dec 14 15:11:04 2016
   3616;  3120; 62;1.250;Wed Dec 14 15:13:04 2016
   3754;  3240; 62;1.250;Wed Dec 14 15:15:04 2016
   3893;  3360; 61;1.230;Wed Dec 14 15:17:04 2016
   4032;  3480; 61;1.230;Wed Dec 14 15:19:04 2016
   4171;  3600; 61;1.230;Wed Dec 14 15:21:04 2016
   4310;  3720; 61;1.230;Wed Dec 14 15:23:04 2016
   4449;  3840; 61;1.230;Wed Dec 14 15:25:04 2016
   4588;  3960; 61;1.230;Wed Dec 14 15:27:04 2016
   4728;  4080; 61;1.230;Wed Dec 14 15:29:04 2016
   4867;  4200; 61;1.230;Wed Dec 14 15:31:04 2016
   5006;  4320; 61;1.230;Wed Dec 14 15:33:04 2016
   5145;  4440; 61;1.230;Wed Dec 14 15:35:04 2016
   5284;  4560; 61;1.230;Wed Dec 14 15:37:04 2016
   5424;  4680; 61;1.230;Wed Dec 14 15:39:04 2016
   5563;  4800; 61;1.230;Wed Dec 14 15:41:04 2016
   5702;  4920; 61;1.230;Wed Dec 14 15:43:04 2016
   5841;  5040; 61;1.230;Wed Dec 14 15:45:04 2016
