N°;Secondes;Brut;Volts;Date
      0;     1;1066;1.333;Mon Feb 20 21:02:11 2017
      1;    11;1139;1.424;Mon Feb 20 21:02:21 2017
      2;    21;1142;1.428;Mon Feb 20 21:02:31 2017
      3;    31;1142;1.428;Mon Feb 20 21:02:41 2017
      4;    41;1146;1.433;Mon Feb 20 21:02:51 2017
      5;    51;1148;1.435;Mon Feb 20 21:03:01 2017
      6;    61;1154;1.443;Mon Feb 20 21:03:11 2017
      7;    71;1150;1.438;Mon Feb 20 21:03:21 2017
      8;    81;1153;1.442;Mon Feb 20 21:03:31 2017
      9;    91;1156;1.445;Mon Feb 20 21:03:41 2017
     10;   101;1156;1.445;Mon Feb 20 21:03:51 2017
     11;   111;1156;1.445;Mon Feb 20 21:04:01 2017
     12;   121;1159;1.449;Mon Feb 20 21:04:11 2017
     13;   131;1160;1.450;Mon Feb 20 21:04:21 2017
     14;   142;1158;1.448;Mon Feb 20 21:04:32 2017
     15;   152;1160;1.450;Mon Feb 20 21:04:42 2017
     16;   162;1162;1.453;Mon Feb 20 21:04:52 2017
     17;   172;1162;1.453;Mon Feb 20 21:05:02 2017
     18;   182;1161;1.452;Mon Feb 20 21:05:12 2017
     19;   192;1162;1.453;Mon Feb 20 21:05:22 2017
     20;   202;1165;1.457;Mon Feb 20 21:05:32 2017
     21;   212;1164;1.455;Mon Feb 20 21:05:42 2017
     22;   222;1163;1.454;Mon Feb 20 21:05:52 2017
     23;   232;1168;1.460;Mon Feb 20 21:06:02 2017
     24;   242;1166;1.458;Mon Feb 20 21:06:12 2017
     25;   252;1166;1.458;Mon Feb 20 21:06:22 2017
     26;   263;1167;1.459;Mon Feb 20 21:06:33 2017
     27;   273;1170;1.463;Mon Feb 20 21:06:43 2017
     28;   283;1170;1.463;Mon Feb 20 21:06:53 2017
     29;   293;1168;1.460;Mon Feb 20 21:07:03 2017
     30;   303;1169;1.462;Mon Feb 20 21:07:13 2017
     31;   313;1171;1.464;Mon Feb 20 21:07:23 2017
     32;   323;1170;1.463;Mon Feb 20 21:07:33 2017
     33;   333;1170;1.463;Mon Feb 20 21:07:43 2017
     34;   343;1171;1.464;Mon Feb 20 21:07:53 2017
     35;   353;1174;1.468;Mon Feb 20 21:08:03 2017
     36;   363;1174;1.468;Mon Feb 20 21:08:13 2017
     37;   373;1170;1.463;Mon Feb 20 21:08:23 2017
     38;   383;1176;1.470;Mon Feb 20 21:08:33 2017
     39;   393;1174;1.468;Mon Feb 20 21:08:43 2017
     40;   403;1172;1.465;Mon Feb 20 21:08:53 2017
     41;   413;1173;1.467;Mon Feb 20 21:09:03 2017
     42;   423;1177;1.472;Mon Feb 20 21:09:13 2017
