N°;Secondes;Brut;Volts;Date
      0;     0;963;1.205;Mon Feb 20 16:47:19 2017
      1;    10;1110;1.388;Mon Feb 20 16:47:29 2017
      2;    20;1124;1.406;Mon Feb 20 16:47:39 2017
      3;    30;1130;1.413;Mon Feb 20 16:47:49 2017
      4;    40;1132;1.415;Mon Feb 20 16:47:59 2017
      5;    50;1137;1.422;Mon Feb 20 16:48:09 2017
      6;    60;1140;1.425;Mon Feb 20 16:48:19 2017
      7;    70;1142;1.428;Mon Feb 20 16:48:29 2017
      8;    80;1142;1.428;Mon Feb 20 16:48:39 2017
      9;    90;1146;1.433;Mon Feb 20 16:48:49 2017
     10;   100;1147;1.434;Mon Feb 20 16:48:59 2017
     11;   110;1149;1.437;Mon Feb 20 16:49:09 2017
     12;   121;1157;1.447;Mon Feb 20 16:49:20 2017
     13;   131;1154;1.443;Mon Feb 20 16:49:30 2017
     14;   141;1154;1.443;Mon Feb 20 16:49:40 2017
     15;   151;1159;1.449;Mon Feb 20 16:49:50 2017
     16;   161;1159;1.449;Mon Feb 20 16:50:00 2017
     17;   171;1159;1.449;Mon Feb 20 16:50:10 2017
     18;   181;1161;1.452;Mon Feb 20 16:50:20 2017
     19;   191;1161;1.452;Mon Feb 20 16:50:30 2017
     20;   201;1161;1.452;Mon Feb 20 16:50:40 2017
     21;   211;1164;1.455;Mon Feb 20 16:50:50 2017
     22;   221;1163;1.454;Mon Feb 20 16:51:00 2017
     23;   231;1164;1.455;Mon Feb 20 16:51:10 2017
     24;   241;1164;1.455;Mon Feb 20 16:51:20 2017
     25;   251;1164;1.455;Mon Feb 20 16:51:30 2017
     26;   261;1167;1.459;Mon Feb 20 16:51:40 2017
     27;   271;1167;1.459;Mon Feb 20 16:51:50 2017
     28;   281;1168;1.460;Mon Feb 20 16:52:00 2017
     29;   291;1166;1.458;Mon Feb 20 16:52:10 2017
     30;   301;1169;1.462;Mon Feb 20 16:52:20 2017
     31;   311;1169;1.462;Mon Feb 20 16:52:30 2017
     32;   321;1170;1.463;Mon Feb 20 16:52:40 2017
     33;   331;1168;1.460;Mon Feb 20 16:52:50 2017
     34;   341;1168;1.460;Mon Feb 20 16:53:00 2017
     35;   352;1171;1.464;Mon Feb 20 16:53:11 2017
     36;   362;1169;1.462;Mon Feb 20 16:53:21 2017
     37;   372;1166;1.458;Mon Feb 20 16:53:31 2017
     38;   382;1165;1.457;Mon Feb 20 16:53:41 2017
     39;   392;1168;1.460;Mon Feb 20 16:53:51 2017
     40;   402;1168;1.460;Mon Feb 20 16:54:01 2017
     41;   412;1169;1.462;Mon Feb 20 16:54:11 2017
     42;   422;1166;1.458;Mon Feb 20 16:54:21 2017
     43;   432;1168;1.460;Mon Feb 20 16:54:31 2017
     44;   442;1166;1.458;Mon Feb 20 16:54:41 2017
     45;   452;1171;1.464;Mon Feb 20 16:54:51 2017
     46;   462;1168;1.460;Mon Feb 20 16:55:01 2017
     47;   472;1168;1.460;Mon Feb 20 16:55:11 2017
     48;   482;1168;1.460;Mon Feb 20 16:55:21 2017
     49;   492;1169;1.462;Mon Feb 20 16:55:31 2017
     50;   502;1168;1.460;Mon Feb 20 16:55:41 2017
     51;   512;1170;1.463;Mon Feb 20 16:55:51 2017
     52;   522;1168;1.460;Mon Feb 20 16:56:01 2017
     53;   532;1168;1.460;Mon Feb 20 16:56:11 2017
     54;   542;1169;1.462;Mon Feb 20 16:56:21 2017
     55;   552;1172;1.465;Mon Feb 20 16:56:31 2017
     56;   562;1171;1.464;Mon Feb 20 16:56:41 2017
     57;   573;1171;1.464;Mon Feb 20 16:56:52 2017
     58;   583;1170;1.463;Mon Feb 20 16:57:02 2017
     59;   593;1172;1.465;Mon Feb 20 16:57:12 2017
     60;   603;1170;1.463;Mon Feb 20 16:57:22 2017
     61;   613;1172;1.465;Mon Feb 20 16:57:32 2017
     62;   623;1174;1.468;Mon Feb 20 16:57:42 2017
     63;   633;1170;1.463;Mon Feb 20 16:57:52 2017
     64;   643;1172;1.465;Mon Feb 20 16:58:02 2017
     65;   653;1173;1.467;Mon Feb 20 16:58:12 2017
     66;   663;1170;1.463;Mon Feb 20 16:58:22 2017
     67;   673;1172;1.465;Mon Feb 20 16:58:32 2017
     68;   683;1172;1.465;Mon Feb 20 16:58:42 2017
     69;   693;1172;1.465;Mon Feb 20 16:58:52 2017
     70;   703;1174;1.468;Mon Feb 20 16:59:02 2017
     71;   713;1173;1.467;Mon Feb 20 16:59:12 2017
     72;   723;1176;1.470;Mon Feb 20 16:59:22 2017
     73;   733;1173;1.467;Mon Feb 20 16:59:32 2017
     74;   743;1172;1.465;Mon Feb 20 16:59:42 2017
     75;   753;1172;1.465;Mon Feb 20 16:59:52 2017
     76;   763;1172;1.465;Mon Feb 20 17:00:02 2017
     77;   773;1173;1.467;Mon Feb 20 17:00:12 2017
     78;   783;1174;1.468;Mon Feb 20 17:00:22 2017
     79;   793;1175;1.469;Mon Feb 20 17:00:32 2017
     80;   804;1174;1.468;Mon Feb 20 17:00:43 2017
     81;   814;1176;1.470;Mon Feb 20 17:00:53 2017
     82;   824;1174;1.468;Mon Feb 20 17:01:03 2017
     83;   834;1176;1.470;Mon Feb 20 17:01:13 2017
     84;   844;1175;1.469;Mon Feb 20 17:01:23 2017
