N°;Secondes;Brut;Volts;Date
      0;     0;1030;1.288;Sun Feb 19 10:37:24 2017
      1;    10;1027;1.285;Sun Feb 19 10:37:34 2017
      2;    20;1027;1.285;Sun Feb 19 10:37:44 2017
      3;    30;1027;1.285;Sun Feb 19 10:37:54 2017
      4;    40;1028;1.286;Sun Feb 19 10:38:04 2017
      5;    50;1026;1.283;Sun Feb 19 10:38:14 2017
      6;    60;1026;1.283;Sun Feb 19 10:38:24 2017
      7;    71;1025;1.282;Sun Feb 19 10:38:35 2017
      8;    81;1026;1.283;Sun Feb 19 10:38:45 2017
      9;    91;1024;1.281;Sun Feb 19 10:38:55 2017
     10;   101;1026;1.283;Sun Feb 19 10:39:05 2017
     11;   111;1024;1.281;Sun Feb 19 10:39:15 2017
     12;   121;1024;1.281;Sun Feb 19 10:39:25 2017
     13;   131;1023;1.280;Sun Feb 19 10:39:35 2017
     14;   141;1023;1.280;Sun Feb 19 10:39:45 2017
     15;   151;1022;1.279;Sun Feb 19 10:39:55 2017
     16;   161;1024;1.281;Sun Feb 19 10:40:05 2017
     17;   171;1022;1.279;Sun Feb 19 10:40:15 2017
     18;   181;1024;1.281;Sun Feb 19 10:40:25 2017
     19;   191;1022;1.279;Sun Feb 19 10:40:35 2017
     20;   201;1023;1.280;Sun Feb 19 10:40:45 2017
     21;   211;1023;1.280;Sun Feb 19 10:40:55 2017
     22;   222;1021;1.277;Sun Feb 19 10:41:06 2017
     23;   232;1022;1.279;Sun Feb 19 10:41:16 2017
     24;   242;1021;1.277;Sun Feb 19 10:41:26 2017
     25;   252;1022;1.279;Sun Feb 19 10:41:36 2017
     26;   262;1021;1.277;Sun Feb 19 10:41:46 2017
     27;   272;1020;1.276;Sun Feb 19 10:41:56 2017
     28;   282;1020;1.276;Sun Feb 19 10:42:06 2017
     29;   292;1020;1.276;Sun Feb 19 10:42:16 2017
     30;   302;1020;1.276;Sun Feb 19 10:42:26 2017
     31;   312;1020;1.276;Sun Feb 19 10:42:36 2017
     32;   322;1020;1.276;Sun Feb 19 10:42:46 2017
     33;   332;1019;1.275;Sun Feb 19 10:42:56 2017
     34;   342;1020;1.276;Sun Feb 19 10:43:06 2017
     35;   352;1018;1.274;Sun Feb 19 10:43:16 2017
     36;   362;1019;1.275;Sun Feb 19 10:43:26 2017
     37;   372;1020;1.276;Sun Feb 19 10:43:36 2017
     38;   382;1018;1.274;Sun Feb 19 10:43:46 2017
     39;   392;1018;1.274;Sun Feb 19 10:43:56 2017
     40;   402;1018;1.274;Sun Feb 19 10:44:06 2017
     41;   412;1018;1.274;Sun Feb 19 10:44:16 2017
     42;   422;1018;1.274;Sun Feb 19 10:44:26 2017
     43;   432;1018;1.274;Sun Feb 19 10:44:36 2017
     44;   443;1017;1.272;Sun Feb 19 10:44:47 2017
     45;   453;1018;1.274;Sun Feb 19 10:44:57 2017
     46;   463;1018;1.274;Sun Feb 19 10:45:07 2017
     47;   473;1016;1.271;Sun Feb 19 10:45:17 2017
     48;   483;1018;1.274;Sun Feb 19 10:45:27 2017
     49;   493;1017;1.272;Sun Feb 19 10:45:37 2017
     50;   503;1015;1.270;Sun Feb 19 10:45:47 2017
     51;   513;1017;1.272;Sun Feb 19 10:45:57 2017
     52;   523;1016;1.271;Sun Feb 19 10:46:07 2017
     53;   533;1015;1.270;Sun Feb 19 10:46:17 2017
     54;   543;1015;1.270;Sun Feb 19 10:46:27 2017
     55;   553;1015;1.270;Sun Feb 19 10:46:37 2017
     56;   563;1015;1.270;Sun Feb 19 10:46:47 2017
     57;   573;1017;1.272;Sun Feb 19 10:46:57 2017
     58;   583;1016;1.271;Sun Feb 19 10:47:07 2017
     59;   593;1015;1.270;Sun Feb 19 10:47:17 2017
     60;   603;1015;1.270;Sun Feb 19 10:47:27 2017
     61;   613;1014;1.269;Sun Feb 19 10:47:37 2017
     62;   623;1015;1.270;Sun Feb 19 10:47:47 2017
     63;   633;1015;1.270;Sun Feb 19 10:47:57 2017
     64;   643;1014;1.269;Sun Feb 19 10:48:07 2017
     65;   653;1013;1.267;Sun Feb 19 10:48:17 2017
     66;   663;1014;1.269;Sun Feb 19 10:48:27 2017
     67;   674;1014;1.269;Sun Feb 19 10:48:38 2017
     68;   684;1015;1.270;Sun Feb 19 10:48:48 2017
     69;   694;1014;1.269;Sun Feb 19 10:48:58 2017
     70;   704;1012;1.266;Sun Feb 19 10:49:08 2017
     71;   714;1014;1.269;Sun Feb 19 10:49:18 2017
     72;   724;1013;1.267;Sun Feb 19 10:49:28 2017
     73;   734;1013;1.267;Sun Feb 19 10:49:38 2017
     74;   744;1013;1.267;Sun Feb 19 10:49:48 2017
     75;   754;1014;1.269;Sun Feb 19 10:49:58 2017
     76;   764;1013;1.267;Sun Feb 19 10:50:08 2017
     77;   774;1013;1.267;Sun Feb 19 10:50:18 2017
     78;   784;1013;1.267;Sun Feb 19 10:50:28 2017
     79;   794;1013;1.267;Sun Feb 19 10:50:38 2017
     80;   804;1011;1.265;Sun Feb 19 10:50:48 2017
     81;   814;1011;1.265;Sun Feb 19 10:50:58 2017
     82;   824;1013;1.267;Sun Feb 19 10:51:08 2017
     83;   834;1011;1.265;Sun Feb 19 10:51:18 2017
     84;   844;1012;1.266;Sun Feb 19 10:51:28 2017
     85;   854;1012;1.266;Sun Feb 19 10:51:38 2017
     86;   864;1012;1.266;Sun Feb 19 10:51:48 2017
     87;   874;1011;1.265;Sun Feb 19 10:51:58 2017
     88;   884;1010;1.264;Sun Feb 19 10:52:08 2017
     89;   895;1012;1.266;Sun Feb 19 10:52:19 2017
     90;   905;1011;1.265;Sun Feb 19 10:52:29 2017
     91;   915;1012;1.266;Sun Feb 19 10:52:39 2017
     92;   925;1012;1.266;Sun Feb 19 10:52:49 2017
     93;   935;1011;1.265;Sun Feb 19 10:52:59 2017
     94;   945;1012;1.266;Sun Feb 19 10:53:09 2017
     95;   955;1011;1.265;Sun Feb 19 10:53:19 2017
     96;   965;1010;1.264;Sun Feb 19 10:53:29 2017
     97;   975;1011;1.265;Sun Feb 19 10:53:39 2017
     98;   985;1011;1.265;Sun Feb 19 10:53:49 2017
     99;   995;1010;1.264;Sun Feb 19 10:53:59 2017
    100;  1005;1011;1.265;Sun Feb 19 10:54:09 2017
