N°;Secondes;Brut;Volts;Date
      0;     0;1045;1.307;Sat Feb 25 04:56:58 2017
      1;    10;1043;1.305;Sat Feb 25 04:57:08 2017
      2;    20;1043;1.305;Sat Feb 25 04:57:18 2017
      3;    30;1042;1.303;Sat Feb 25 04:57:28 2017
      4;    40;1042;1.303;Sat Feb 25 04:57:38 2017
      5;    50;1041;1.302;Sat Feb 25 04:57:48 2017
      6;    61;1041;1.302;Sat Feb 25 04:57:59 2017
      7;    71;1041;1.302;Sat Feb 25 04:58:09 2017
      8;    81;1040;1.301;Sat Feb 25 04:58:19 2017
      9;    91;1040;1.301;Sat Feb 25 04:58:29 2017
     10;   101;1040;1.301;Sat Feb 25 04:58:39 2017
     11;   111;1039;1.300;Sat Feb 25 04:58:49 2017
     12;   121;1039;1.300;Sat Feb 25 04:58:59 2017
     13;   131;1039;1.300;Sat Feb 25 04:59:09 2017
     14;   141;1038;1.298;Sat Feb 25 04:59:19 2017
     15;   151;1038;1.298;Sat Feb 25 04:59:29 2017
     16;   161;1038;1.298;Sat Feb 25 04:59:39 2017
     17;   171;1038;1.298;Sat Feb 25 04:59:49 2017
     18;   181;1037;1.297;Sat Feb 25 04:59:59 2017
     19;   191;1037;1.297;Sat Feb 25 05:00:09 2017
     20;   201;1037;1.297;Sat Feb 25 05:00:19 2017
     21;   212;1036;1.296;Sat Feb 25 05:00:30 2017
     22;   222;1036;1.296;Sat Feb 25 05:00:40 2017
     23;   232;1036;1.296;Sat Feb 25 05:00:50 2017
     24;   242;1036;1.296;Sat Feb 25 05:01:00 2017
     25;   252;1035;1.295;Sat Feb 25 05:01:10 2017
     26;   262;1035;1.295;Sat Feb 25 05:01:20 2017
     27;   273;1034;1.293;Sat Feb 25 05:01:31 2017
     28;   283;1035;1.295;Sat Feb 25 05:01:41 2017
     29;   293;1034;1.293;Sat Feb 25 05:01:51 2017
     30;   303;1034;1.293;Sat Feb 25 05:02:01 2017
     31;   313;1034;1.293;Sat Feb 25 05:02:11 2017
     32;   323;1033;1.292;Sat Feb 25 05:02:21 2017
     33;   333;1034;1.293;Sat Feb 25 05:02:31 2017
     34;   343;1033;1.292;Sat Feb 25 05:02:41 2017
     35;   353;1034;1.293;Sat Feb 25 05:02:51 2017
     36;   363;1033;1.292;Sat Feb 25 05:03:01 2017
     37;   373;1033;1.292;Sat Feb 25 05:03:11 2017
     38;   383;1033;1.292;Sat Feb 25 05:03:21 2017
     39;   393;1032;1.291;Sat Feb 25 05:03:31 2017
     40;   403;1032;1.291;Sat Feb 25 05:03:41 2017
     41;   413;1032;1.291;Sat Feb 25 05:03:51 2017
     42;   423;1032;1.291;Sat Feb 25 05:04:01 2017
     43;   433;1030;1.288;Sat Feb 25 05:04:11 2017
     44;   443;1031;1.290;Sat Feb 25 05:04:21 2017
     45;   453;1031;1.290;Sat Feb 25 05:04:31 2017
     46;   463;1031;1.290;Sat Feb 25 05:04:41 2017
     47;   473;1031;1.290;Sat Feb 25 05:04:51 2017
     48;   483;1031;1.290;Sat Feb 25 05:05:01 2017
     49;   494;1030;1.288;Sat Feb 25 05:05:12 2017
     50;   504;1030;1.288;Sat Feb 25 05:05:22 2017
     51;   514;1029;1.287;Sat Feb 25 05:05:32 2017
     52;   524;1030;1.288;Sat Feb 25 05:05:42 2017
     53;   534;1030;1.288;Sat Feb 25 05:05:52 2017
     54;   544;1029;1.287;Sat Feb 25 05:06:02 2017
     55;   554;1029;1.287;Sat Feb 25 05:06:12 2017
     56;   564;1029;1.287;Sat Feb 25 05:06:22 2017
     57;   574;1029;1.287;Sat Feb 25 05:06:32 2017
     58;   584;1028;1.286;Sat Feb 25 05:06:42 2017
     59;   594;1028;1.286;Sat Feb 25 05:06:52 2017
     60;   604;1029;1.287;Sat Feb 25 05:07:02 2017
     61;   614;1028;1.286;Sat Feb 25 05:07:12 2017
     62;   624;1028;1.286;Sat Feb 25 05:07:22 2017
     63;   634;1027;1.285;Sat Feb 25 05:07:32 2017
     64;   644;1028;1.286;Sat Feb 25 05:07:42 2017
     65;   654;1028;1.286;Sat Feb 25 05:07:52 2017
     66;   664;1027;1.285;Sat Feb 25 05:08:02 2017
     67;   674;1028;1.286;Sat Feb 25 05:08:12 2017
     68;   684;1027;1.285;Sat Feb 25 05:08:22 2017
     69;   694;1027;1.285;Sat Feb 25 05:08:32 2017
     70;   704;1027;1.285;Sat Feb 25 05:08:42 2017
     71;   715;1026;1.283;Sat Feb 25 05:08:53 2017
     72;   725;1026;1.283;Sat Feb 25 05:09:03 2017
     73;   735;1027;1.285;Sat Feb 25 05:09:13 2017
     74;   745;1027;1.285;Sat Feb 25 05:09:23 2017
     75;   755;1026;1.283;Sat Feb 25 05:09:33 2017
     76;   765;1026;1.283;Sat Feb 25 05:09:43 2017
     77;   775;1025;1.282;Sat Feb 25 05:09:53 2017
     78;   785;1025;1.282;Sat Feb 25 05:10:03 2017
     79;   795;1026;1.283;Sat Feb 25 05:10:13 2017
     80;   805;1026;1.283;Sat Feb 25 05:10:23 2017
     81;   815;1025;1.282;Sat Feb 25 05:10:33 2017
     82;   825;1026;1.283;Sat Feb 25 05:10:43 2017
     83;   835;1025;1.282;Sat Feb 25 05:10:53 2017
     84;   845;1024;1.281;Sat Feb 25 05:11:03 2017
     85;   855;1024;1.281;Sat Feb 25 05:11:13 2017
     86;   865;1025;1.282;Sat Feb 25 05:11:23 2017
     87;   875;1025;1.282;Sat Feb 25 05:11:33 2017
     88;   885;1024;1.281;Sat Feb 25 05:11:43 2017
     89;   895;1024;1.281;Sat Feb 25 05:11:53 2017
     90;   905;1024;1.281;Sat Feb 25 05:12:03 2017
     91;   915;1024;1.281;Sat Feb 25 05:12:13 2017
     92;   925;1023;1.280;Sat Feb 25 05:12:23 2017
     93;   936;1024;1.281;Sat Feb 25 05:12:34 2017
     94;   946;1024;1.281;Sat Feb 25 05:12:44 2017
     95;   956;1024;1.281;Sat Feb 25 05:12:54 2017
     96;   966;1023;1.280;Sat Feb 25 05:13:04 2017
     97;   976;1024;1.281;Sat Feb 25 05:13:14 2017
     98;   986;1024;1.281;Sat Feb 25 05:13:24 2017
     99;   996;1024;1.281;Sat Feb 25 05:13:34 2017
    100;  1006;1023;1.280;Sat Feb 25 05:13:44 2017
    101;  1016;1023;1.280;Sat Feb 25 05:13:54 2017
    102;  1026;1023;1.280;Sat Feb 25 05:14:04 2017
    103;  1036;1024;1.281;Sat Feb 25 05:14:14 2017
    104;  1046;1023;1.280;Sat Feb 25 05:14:24 2017
    105;  1056;1022;1.279;Sat Feb 25 05:14:34 2017
    106;  1066;1022;1.279;Sat Feb 25 05:14:44 2017
    107;  1076;1022;1.279;Sat Feb 25 05:14:54 2017
    108;  1086;1023;1.280;Sat Feb 25 05:15:04 2017
    109;  1096;1022;1.279;Sat Feb 25 05:15:14 2017
    110;  1106;1022;1.279;Sat Feb 25 05:15:24 2017
    111;  1116;1022;1.279;Sat Feb 25 05:15:34 2017
    112;  1126;1022;1.279;Sat Feb 25 05:15:44 2017
