N°;Secondes;Brut;Volts;Date
      0;     0;1192;1.490;Tue Feb 21 02:22:39 2017
      1;    10;1190;1.488;Tue Feb 21 02:22:49 2017
      2;    20;1188;1.485;Tue Feb 21 02:22:59 2017
      3;    30;1187;1.484;Tue Feb 21 02:23:09 2017
      4;    40;1186;1.483;Tue Feb 21 02:23:19 2017
      5;    50;1184;1.480;Tue Feb 21 02:23:29 2017
      6;    60;1183;1.479;Tue Feb 21 02:23:39 2017
      7;    70;1181;1.476;Tue Feb 21 02:23:49 2017
      8;    80;1180;1.475;Tue Feb 21 02:23:59 2017
      9;    90;1179;1.474;Tue Feb 21 02:24:09 2017
     10;   100;1179;1.474;Tue Feb 21 02:24:19 2017
     11;   110;1178;1.473;Tue Feb 21 02:24:29 2017
     12;   120;1178;1.473;Tue Feb 21 02:24:39 2017
     13;   130;1177;1.472;Tue Feb 21 02:24:49 2017
     14;   141;1175;1.469;Tue Feb 21 02:25:00 2017
     15;   151;1175;1.469;Tue Feb 21 02:25:10 2017
     16;   161;1174;1.468;Tue Feb 21 02:25:20 2017
     17;   171;1173;1.467;Tue Feb 21 02:25:30 2017
     18;   171;1173;1.467;Tue Feb 21 02:25:30 2017
