N°;Secondes;Brut;Volts;Date
      0;     1;1128;1.410;Mon Feb 20 19:30:08 2017
      1;    11;1126;1.408;Mon Feb 20 19:30:18 2017
      2;    21;1126;1.408;Mon Feb 20 19:30:28 2017
      3;    31;1123;1.404;Mon Feb 20 19:30:38 2017
      4;    41;1122;1.403;Mon Feb 20 19:30:48 2017
      5;    51;1121;1.402;Mon Feb 20 19:30:58 2017
      6;    61;1120;1.401;Mon Feb 20 19:31:08 2017
      7;    71;1118;1.398;Mon Feb 20 19:31:18 2017
      8;    81;1115;1.394;Mon Feb 20 19:31:28 2017
      9;    91;1114;1.393;Mon Feb 20 19:31:38 2017
     10;   102;1115;1.394;Mon Feb 20 19:31:49 2017
     11;   112;1113;1.392;Mon Feb 20 19:31:59 2017
     12;   122;1112;1.391;Mon Feb 20 19:32:09 2017
     13;   132;1111;1.389;Mon Feb 20 19:32:19 2017
     14;   142;1110;1.388;Mon Feb 20 19:32:29 2017
     15;   152;1110;1.388;Mon Feb 20 19:32:39 2017
     16;   162;1110;1.388;Mon Feb 20 19:32:49 2017
     17;   172;1108;1.386;Mon Feb 20 19:32:59 2017
     18;   182;1108;1.386;Mon Feb 20 19:33:09 2017
     19;   192;1107;1.384;Mon Feb 20 19:33:19 2017
     20;   202;1106;1.383;Mon Feb 20 19:33:29 2017
     21;   212;1106;1.383;Mon Feb 20 19:33:39 2017
     22;   222;1107;1.384;Mon Feb 20 19:33:49 2017
     23;   232;1105;1.382;Mon Feb 20 19:33:59 2017
     24;   242;1105;1.382;Mon Feb 20 19:34:09 2017
     25;   252;1104;1.381;Mon Feb 20 19:34:19 2017
     26;   262;1103;1.379;Mon Feb 20 19:34:29 2017
     27;   272;1103;1.379;Mon Feb 20 19:34:39 2017
     28;   282;1102;1.378;Mon Feb 20 19:34:49 2017
     29;   292;1101;1.377;Mon Feb 20 19:34:59 2017
     30;   302;1101;1.377;Mon Feb 20 19:35:09 2017
     31;   312;1101;1.377;Mon Feb 20 19:35:19 2017
     32;   322;1101;1.377;Mon Feb 20 19:35:29 2017
     33;   333;1100;1.376;Mon Feb 20 19:35:40 2017
     34;   343;1099;1.374;Mon Feb 20 19:35:50 2017
     35;   353;1099;1.374;Mon Feb 20 19:36:00 2017
     36;   363;1098;1.373;Mon Feb 20 19:36:10 2017
     37;   373;1099;1.374;Mon Feb 20 19:36:20 2017
     38;   383;1098;1.373;Mon Feb 20 19:36:30 2017
     39;   393;1098;1.373;Mon Feb 20 19:36:40 2017
     40;   403;1098;1.373;Mon Feb 20 19:36:50 2017
     41;   413;1097;1.372;Mon Feb 20 19:37:00 2017
     42;   423;1096;1.371;Mon Feb 20 19:37:10 2017
     43;   433;1097;1.372;Mon Feb 20 19:37:20 2017
     44;   443;1095;1.369;Mon Feb 20 19:37:30 2017
     45;   453;1095;1.369;Mon Feb 20 19:37:40 2017
     46;   463;1096;1.371;Mon Feb 20 19:37:50 2017
     47;   473;1096;1.371;Mon Feb 20 19:38:00 2017
     48;   483;1095;1.369;Mon Feb 20 19:38:10 2017
     49;   493;1096;1.371;Mon Feb 20 19:38:20 2017
     50;   503;1095;1.369;Mon Feb 20 19:38:30 2017
     51;   513;1094;1.368;Mon Feb 20 19:38:40 2017
     52;   523;1094;1.368;Mon Feb 20 19:38:50 2017
     53;   533;1094;1.368;Mon Feb 20 19:39:00 2017
     54;   543;1093;1.367;Mon Feb 20 19:39:10 2017
     55;   554;1093;1.367;Mon Feb 20 19:39:21 2017
     56;   564;1092;1.366;Mon Feb 20 19:39:31 2017
     57;   574;1092;1.366;Mon Feb 20 19:39:41 2017
     58;   584;1092;1.366;Mon Feb 20 19:39:51 2017
     59;   594;1091;1.364;Mon Feb 20 19:40:01 2017
     60;   604;1091;1.364;Mon Feb 20 19:40:11 2017
     61;   614;1091;1.364;Mon Feb 20 19:40:21 2017
     62;   624;1090;1.363;Mon Feb 20 19:40:31 2017
     63;   634;1091;1.364;Mon Feb 20 19:40:41 2017
     64;   644;1091;1.364;Mon Feb 20 19:40:51 2017
     65;   654;1090;1.363;Mon Feb 20 19:41:01 2017
     66;   664;1090;1.363;Mon Feb 20 19:41:11 2017
     67;   674;1090;1.363;Mon Feb 20 19:41:21 2017
     68;   684;1089;1.362;Mon Feb 20 19:41:31 2017
     69;   694;1090;1.363;Mon Feb 20 19:41:41 2017
     70;   704;1089;1.362;Mon Feb 20 19:41:51 2017
     71;   714;1090;1.363;Mon Feb 20 19:42:01 2017
     72;   724;1088;1.361;Mon Feb 20 19:42:11 2017
     73;   734;1090;1.363;Mon Feb 20 19:42:21 2017
     74;   744;1088;1.361;Mon Feb 20 19:42:31 2017
     75;   754;1088;1.361;Mon Feb 20 19:42:41 2017
     76;   764;1089;1.362;Mon Feb 20 19:42:51 2017
     77;   774;1088;1.361;Mon Feb 20 19:43:01 2017
     78;   785;1088;1.361;Mon Feb 20 19:43:12 2017
     79;   795;1088;1.361;Mon Feb 20 19:43:22 2017
     80;   805;1087;1.359;Mon Feb 20 19:43:32 2017
     81;   815;1088;1.361;Mon Feb 20 19:43:42 2017
     82;   825;1088;1.361;Mon Feb 20 19:43:52 2017
     83;   835;1087;1.359;Mon Feb 20 19:44:02 2017
     84;   845;1088;1.361;Mon Feb 20 19:44:12 2017
     85;   855;1086;1.358;Mon Feb 20 19:44:22 2017
     86;   865;1087;1.359;Mon Feb 20 19:44:32 2017
     87;   875;1088;1.361;Mon Feb 20 19:44:42 2017
     88;   885;1087;1.359;Mon Feb 20 19:44:52 2017
     89;   895;1087;1.359;Mon Feb 20 19:45:02 2017
     90;   905;1086;1.358;Mon Feb 20 19:45:12 2017
     91;   915;1086;1.358;Mon Feb 20 19:45:22 2017
     92;   925;1087;1.359;Mon Feb 20 19:45:32 2017
     93;   935;1086;1.358;Mon Feb 20 19:45:42 2017
     94;   945;1086;1.358;Mon Feb 20 19:45:52 2017
     95;   955;1086;1.358;Mon Feb 20 19:46:02 2017
     96;   965;1085;1.357;Mon Feb 20 19:46:12 2017
     97;   975;1086;1.358;Mon Feb 20 19:46:22 2017
     98;   985;1085;1.357;Mon Feb 20 19:46:32 2017
     99;   995;1086;1.358;Mon Feb 20 19:46:42 2017
    100;  1006;1085;1.357;Mon Feb 20 19:46:53 2017
    101;  1016;1085;1.357;Mon Feb 20 19:47:03 2017
    102;  1026;1085;1.357;Mon Feb 20 19:47:13 2017
    103;  1036;1086;1.358;Mon Feb 20 19:47:23 2017
    104;  1046;1086;1.358;Mon Feb 20 19:47:33 2017
    105;  1056;1085;1.357;Mon Feb 20 19:47:43 2017
    106;  1066;1085;1.357;Mon Feb 20 19:47:53 2017
    107;  1076;1085;1.357;Mon Feb 20 19:48:03 2017
    108;  1086;1085;1.357;Mon Feb 20 19:48:13 2017
    109;  1096;1084;1.356;Mon Feb 20 19:48:23 2017
    110;  1106;1085;1.357;Mon Feb 20 19:48:33 2017
    111;  1116;1084;1.356;Mon Feb 20 19:48:43 2017
    112;  1126;1084;1.356;Mon Feb 20 19:48:53 2017
    113;  1136;1084;1.356;Mon Feb 20 19:49:03 2017
    114;  1146;1083;1.354;Mon Feb 20 19:49:13 2017
    115;  1156;1084;1.356;Mon Feb 20 19:49:23 2017
    116;  1166;1083;1.354;Mon Feb 20 19:49:33 2017
    117;  1176;1083;1.354;Mon Feb 20 19:49:43 2017
    118;  1186;1084;1.356;Mon Feb 20 19:49:53 2017
    119;  1196;1083;1.354;Mon Feb 20 19:50:03 2017
    120;  1206;1082;1.353;Mon Feb 20 19:50:13 2017
    121;  1216;1083;1.354;Mon Feb 20 19:50:23 2017
    122;  1227;1083;1.354;Mon Feb 20 19:50:34 2017
    123;  1237;1083;1.354;Mon Feb 20 19:50:44 2017
    124;  1247;1081;1.352;Mon Feb 20 19:50:54 2017
    125;  1257;1082;1.353;Mon Feb 20 19:51:04 2017
    126;  1267;1081;1.352;Mon Feb 20 19:51:14 2017
    127;  1277;1082;1.353;Mon Feb 20 19:51:24 2017
    128;  1287;1082;1.353;Mon Feb 20 19:51:34 2017
    129;  1297;1081;1.352;Mon Feb 20 19:51:44 2017
    130;  1307;1081;1.352;Mon Feb 20 19:51:54 2017
    131;  1317;1081;1.352;Mon Feb 20 19:52:04 2017
    132;  1327;1080;1.351;Mon Feb 20 19:52:14 2017
    133;  1337;1080;1.351;Mon Feb 20 19:52:24 2017
    134;  1347;1080;1.351;Mon Feb 20 19:52:34 2017
    135;  1357;1080;1.351;Mon Feb 20 19:52:44 2017
    136;  1367;1080;1.351;Mon Feb 20 19:52:54 2017
    137;  1377;1080;1.351;Mon Feb 20 19:53:04 2017
    138;  1387;1080;1.351;Mon Feb 20 19:53:14 2017
    139;  1397;1079;1.349;Mon Feb 20 19:53:24 2017
    140;  1407;1079;1.349;Mon Feb 20 19:53:34 2017
    141;  1417;1079;1.349;Mon Feb 20 19:53:44 2017
    142;  1427;1079;1.349;Mon Feb 20 19:53:54 2017
    143;  1437;1079;1.349;Mon Feb 20 19:54:04 2017
    144;  1447;1079;1.349;Mon Feb 20 19:54:14 2017
    145;  1458;1079;1.349;Mon Feb 20 19:54:25 2017
    146;  1468;1079;1.349;Mon Feb 20 19:54:35 2017
    147;  1478;1079;1.349;Mon Feb 20 19:54:45 2017
    148;  1488;1078;1.348;Mon Feb 20 19:54:55 2017
    149;  1498;1078;1.348;Mon Feb 20 19:55:05 2017
    150;  1508;1078;1.348;Mon Feb 20 19:55:15 2017
    151;  1518;1078;1.348;Mon Feb 20 19:55:25 2017
    152;  1528;1078;1.348;Mon Feb 20 19:55:35 2017
    153;  1538;1078;1.348;Mon Feb 20 19:55:45 2017
    154;  1548;1078;1.348;Mon Feb 20 19:55:55 2017
    155;  1558;1077;1.347;Mon Feb 20 19:56:05 2017
    156;  1568;1077;1.347;Mon Feb 20 19:56:15 2017
    157;  1578;1077;1.347;Mon Feb 20 19:56:25 2017
    158;  1588;1077;1.347;Mon Feb 20 19:56:35 2017
    159;  1598;1076;1.346;Mon Feb 20 19:56:45 2017
    160;  1608;1076;1.346;Mon Feb 20 19:56:55 2017
    161;  1618;1076;1.346;Mon Feb 20 19:57:05 2017
    162;  1628;1076;1.346;Mon Feb 20 19:57:15 2017
    163;  1638;1077;1.347;Mon Feb 20 19:57:25 2017
    164;  1648;1076;1.346;Mon Feb 20 19:57:35 2017
    165;  1659;1075;1.345;Mon Feb 20 19:57:46 2017
    166;  1669;1075;1.345;Mon Feb 20 19:57:56 2017
    167;  1679;1076;1.346;Mon Feb 20 19:58:06 2017
    168;  1689;1075;1.345;Mon Feb 20 19:58:16 2017
    169;  1699;1076;1.346;Mon Feb 20 19:58:26 2017
    170;  1709;1075;1.345;Mon Feb 20 19:58:36 2017
    171;  1719;1075;1.345;Mon Feb 20 19:58:46 2017
    172;  1729;1075;1.345;Mon Feb 20 19:58:56 2017
    173;  1739;1074;1.343;Mon Feb 20 19:59:06 2017
    174;  1749;1075;1.345;Mon Feb 20 19:59:16 2017
    175;  1759;1074;1.343;Mon Feb 20 19:59:26 2017
    176;  1769;1074;1.343;Mon Feb 20 19:59:36 2017
    177;  1779;1074;1.343;Mon Feb 20 19:59:46 2017
    178;  1789;1074;1.343;Mon Feb 20 19:59:56 2017
    179;  1799;1073;1.342;Mon Feb 20 20:00:06 2017
    180;  1809;1074;1.343;Mon Feb 20 20:00:16 2017
    181;  1819;1074;1.343;Mon Feb 20 20:00:26 2017
