N°;Secondes;Brut;Volts;Date
      0;     0;1099;1.374;Wed Feb 22 03:59:08 2017
      1;    10;1098;1.373;Wed Feb 22 03:59:18 2017
      2;    20;1097;1.372;Wed Feb 22 03:59:28 2017
      3;    30;1096;1.371;Wed Feb 22 03:59:38 2017
      4;    41;1095;1.369;Wed Feb 22 03:59:49 2017
      5;    51;1094;1.368;Wed Feb 22 03:59:59 2017
      6;    61;1094;1.368;Wed Feb 22 04:00:09 2017
      7;    71;1094;1.368;Wed Feb 22 04:00:19 2017
      8;    81;1093;1.367;Wed Feb 22 04:00:29 2017
      9;    91;1093;1.367;Wed Feb 22 04:00:39 2017
     10;   101;1092;1.366;Wed Feb 22 04:00:49 2017
     11;   111;1092;1.366;Wed Feb 22 04:00:59 2017
     12;   121;1091;1.364;Wed Feb 22 04:01:09 2017
     13;   131;1091;1.364;Wed Feb 22 04:01:19 2017
     14;   141;1090;1.363;Wed Feb 22 04:01:29 2017
     15;   151;1090;1.363;Wed Feb 22 04:01:39 2017
     16;   161;1089;1.362;Wed Feb 22 04:01:49 2017
     17;   171;1089;1.362;Wed Feb 22 04:01:59 2017
     18;   181;1089;1.362;Wed Feb 22 04:02:09 2017
     19;   191;1088;1.361;Wed Feb 22 04:02:19 2017
     20;   201;1088;1.361;Wed Feb 22 04:02:29 2017
     21;   212;1087;1.359;Wed Feb 22 04:02:40 2017
     22;   222;1087;1.359;Wed Feb 22 04:02:50 2017
     23;   232;1086;1.358;Wed Feb 22 04:03:00 2017
     24;   242;1087;1.359;Wed Feb 22 04:03:10 2017
     25;   252;1087;1.359;Wed Feb 22 04:03:20 2017
     26;   262;1086;1.358;Wed Feb 22 04:03:30 2017
     27;   272;1086;1.358;Wed Feb 22 04:03:40 2017
     28;   282;1085;1.357;Wed Feb 22 04:03:50 2017
     29;   292;1085;1.357;Wed Feb 22 04:04:00 2017
     30;   302;1086;1.358;Wed Feb 22 04:04:10 2017
     31;   312;1085;1.357;Wed Feb 22 04:04:20 2017
     32;   322;1084;1.356;Wed Feb 22 04:04:30 2017
     33;   332;1084;1.356;Wed Feb 22 04:04:40 2017
     34;   342;1085;1.357;Wed Feb 22 04:04:50 2017
     35;   352;1084;1.356;Wed Feb 22 04:05:00 2017
     36;   362;1084;1.356;Wed Feb 22 04:05:10 2017
     37;   372;1082;1.353;Wed Feb 22 04:05:20 2017
     38;   382;1082;1.353;Wed Feb 22 04:05:30 2017
     39;   392;1083;1.354;Wed Feb 22 04:05:40 2017
     40;   402;1083;1.354;Wed Feb 22 04:05:50 2017
     41;   412;1082;1.353;Wed Feb 22 04:06:00 2017
     42;   422;1082;1.353;Wed Feb 22 04:06:10 2017
     43;   422;1082;1.353;Wed Feb 22 04:06:10 2017
