N°;Secondes;Brut;Volts;Date
      0;     0;1020;1.276;Wed Feb 22 04:10:17 2017
      1;    11;1018;1.274;Wed Feb 22 04:10:28 2017
      2;    21;1019;1.275;Wed Feb 22 04:10:38 2017
      3;    31;1018;1.274;Wed Feb 22 04:10:48 2017
      4;    41;1019;1.275;Wed Feb 22 04:10:58 2017
      5;    51;1020;1.276;Wed Feb 22 04:11:08 2017
      6;    61;1016;1.271;Wed Feb 22 04:11:18 2017
      7;    71;1015;1.270;Wed Feb 22 04:11:28 2017
      8;    81;1011;1.265;Wed Feb 22 04:11:38 2017
      9;    91;1011;1.265;Wed Feb 22 04:11:48 2017
     10;   101;1008;1.261;Wed Feb 22 04:11:58 2017
     11;   111;1009;1.262;Wed Feb 22 04:12:08 2017
     12;   121;1009;1.262;Wed Feb 22 04:12:18 2017
     13;   131;1009;1.262;Wed Feb 22 04:12:28 2017
     14;   141;1012;1.266;Wed Feb 22 04:12:38 2017
     15;   151;1005;1.257;Wed Feb 22 04:12:48 2017
     16;   161;1004;1.256;Wed Feb 22 04:12:58 2017
     17;   171;1002;1.254;Wed Feb 22 04:13:08 2017
     18;   181;1006;1.259;Wed Feb 22 04:13:18 2017
     19;   191;1004;1.256;Wed Feb 22 04:13:28 2017
     20;   201;1012;1.266;Wed Feb 22 04:13:38 2017
     21;   211;1011;1.265;Wed Feb 22 04:13:48 2017
     22;   221;1010;1.264;Wed Feb 22 04:13:58 2017
     23;   232;1010;1.264;Wed Feb 22 04:14:09 2017
     24;   242;1008;1.261;Wed Feb 22 04:14:19 2017
     25;   252;1008;1.261;Wed Feb 22 04:14:29 2017
     26;   262;1009;1.262;Wed Feb 22 04:14:39 2017
     27;   272;1008;1.261;Wed Feb 22 04:14:49 2017
     28;   282;1007;1.260;Wed Feb 22 04:14:59 2017
     29;   292;1007;1.260;Wed Feb 22 04:15:09 2017
     30;   302;1007;1.260;Wed Feb 22 04:15:19 2017
     31;   312;1004;1.256;Wed Feb 22 04:15:29 2017
     32;   322;1006;1.259;Wed Feb 22 04:15:39 2017
     33;   332;1002;1.254;Wed Feb 22 04:15:49 2017
     34;   342;1003;1.255;Wed Feb 22 04:15:59 2017
     35;   353;1002;1.254;Wed Feb 22 04:16:10 2017
     36;   363;1003;1.255;Wed Feb 22 04:16:20 2017
     37;   373;1002;1.254;Wed Feb 22 04:16:30 2017
     38;   383;1001;1.252;Wed Feb 22 04:16:40 2017
     39;   393;999;1.250;Wed Feb 22 04:16:50 2017
     40;   403;999;1.250;Wed Feb 22 04:17:00 2017
     41;   413;999;1.250;Wed Feb 22 04:17:10 2017
     42;   423;1000;1.251;Wed Feb 22 04:17:20 2017
     43;   433;999;1.250;Wed Feb 22 04:17:30 2017
     44;   443;999;1.250;Wed Feb 22 04:17:40 2017
     45;   453;998;1.249;Wed Feb 22 04:17:50 2017
     46;   463;998;1.249;Wed Feb 22 04:18:00 2017
     47;   473;998;1.249;Wed Feb 22 04:18:10 2017
     48;   483;997;1.247;Wed Feb 22 04:18:20 2017
     49;   494;996;1.246;Wed Feb 22 04:18:31 2017
     50;   504;995;1.245;Wed Feb 22 04:18:41 2017
     51;   514;996;1.246;Wed Feb 22 04:18:51 2017
     52;   524;996;1.246;Wed Feb 22 04:19:01 2017
     53;   534;995;1.245;Wed Feb 22 04:19:11 2017
     54;   544;995;1.245;Wed Feb 22 04:19:21 2017
     55;   554;994;1.244;Wed Feb 22 04:19:31 2017
     56;   564;995;1.245;Wed Feb 22 04:19:41 2017
     57;   574;995;1.245;Wed Feb 22 04:19:51 2017
     58;   584;994;1.244;Wed Feb 22 04:20:01 2017
     59;   594;994;1.244;Wed Feb 22 04:20:11 2017
     60;   604;994;1.244;Wed Feb 22 04:20:21 2017
     61;   614;993;1.242;Wed Feb 22 04:20:31 2017
     62;   624;993;1.242;Wed Feb 22 04:20:41 2017
     63;   634;993;1.242;Wed Feb 22 04:20:51 2017
     64;   644;993;1.242;Wed Feb 22 04:21:01 2017
     65;   654;987;1.235;Wed Feb 22 04:21:11 2017
     66;   664;987;1.235;Wed Feb 22 04:21:21 2017
     67;   674;986;1.234;Wed Feb 22 04:21:31 2017
     68;   684;987;1.235;Wed Feb 22 04:21:41 2017
     69;   694;987;1.235;Wed Feb 22 04:21:51 2017
     70;   704;986;1.234;Wed Feb 22 04:22:01 2017
     71;   715;986;1.234;Wed Feb 22 04:22:12 2017
     72;   725;986;1.234;Wed Feb 22 04:22:22 2017
     73;   735;986;1.234;Wed Feb 22 04:22:32 2017
     74;   745;986;1.234;Wed Feb 22 04:22:42 2017
     75;   755;986;1.234;Wed Feb 22 04:22:52 2017
     76;   765;985;1.232;Wed Feb 22 04:23:02 2017
     77;   775;984;1.231;Wed Feb 22 04:23:12 2017
     78;   785;985;1.232;Wed Feb 22 04:23:22 2017
     79;   795;984;1.231;Wed Feb 22 04:23:32 2017
     80;   805;982;1.229;Wed Feb 22 04:23:42 2017
     81;   815;983;1.230;Wed Feb 22 04:23:52 2017
     82;   825;982;1.229;Wed Feb 22 04:24:02 2017
     83;   835;983;1.230;Wed Feb 22 04:24:12 2017
     84;   845;982;1.229;Wed Feb 22 04:24:22 2017
     85;   855;982;1.229;Wed Feb 22 04:24:32 2017
     86;   865;983;1.230;Wed Feb 22 04:24:42 2017
     87;   875;982;1.229;Wed Feb 22 04:24:52 2017
     88;   885;982;1.229;Wed Feb 22 04:25:02 2017
     89;   895;982;1.229;Wed Feb 22 04:25:12 2017
     90;   905;982;1.229;Wed Feb 22 04:25:22 2017
     91;   915;981;1.227;Wed Feb 22 04:25:32 2017
     92;   925;981;1.227;Wed Feb 22 04:25:42 2017
     93;   935;981;1.227;Wed Feb 22 04:25:52 2017
     94;   946;980;1.226;Wed Feb 22 04:26:03 2017
     95;   956;980;1.226;Wed Feb 22 04:26:13 2017
     96;   966;979;1.225;Wed Feb 22 04:26:23 2017
     97;   976;979;1.225;Wed Feb 22 04:26:33 2017
     98;   986;979;1.225;Wed Feb 22 04:26:43 2017
     99;   996;978;1.224;Wed Feb 22 04:26:53 2017
    100;  1006;978;1.224;Wed Feb 22 04:27:03 2017
    101;  1016;976;1.221;Wed Feb 22 04:27:13 2017
    102;  1026;975;1.220;Wed Feb 22 04:27:23 2017
    103;  1036;975;1.220;Wed Feb 22 04:27:33 2017
    104;  1046;975;1.220;Wed Feb 22 04:27:43 2017
    105;  1056;973;1.217;Wed Feb 22 04:27:53 2017
    106;  1066;972;1.216;Wed Feb 22 04:28:03 2017
    107;  1076;972;1.216;Wed Feb 22 04:28:13 2017
    108;  1086;972;1.216;Wed Feb 22 04:28:23 2017
    109;  1096;973;1.217;Wed Feb 22 04:28:33 2017
    110;  1106;973;1.217;Wed Feb 22 04:28:43 2017
    111;  1116;972;1.216;Wed Feb 22 04:28:53 2017
    112;  1126;970;1.214;Wed Feb 22 04:29:03 2017
    113;  1136;971;1.215;Wed Feb 22 04:29:13 2017
    114;  1146;971;1.215;Wed Feb 22 04:29:23 2017
    115;  1156;971;1.215;Wed Feb 22 04:29:33 2017
    116;  1167;971;1.215;Wed Feb 22 04:29:44 2017
    117;  1177;970;1.214;Wed Feb 22 04:29:54 2017
    118;  1187;970;1.214;Wed Feb 22 04:30:04 2017
    119;  1197;971;1.215;Wed Feb 22 04:30:14 2017
    120;  1207;970;1.214;Wed Feb 22 04:30:24 2017
