N°;Secondes;Brut;Volts;Date
      0;     0; 67;1.339;Fri Dec  9 16:43:06 2016
    139;   120; 67;1.339;Fri Dec  9 16:45:06 2016
    278;   240; 67;1.339;Fri Dec  9 16:47:06 2016
    417;   360; 67;1.339;Fri Dec  9 16:49:06 2016
    556;   480; 67;1.339;Fri Dec  9 16:51:06 2016
    695;   600; 66;1.319;Fri Dec  9 16:53:06 2016
    696;   600; 66;1.319;Fri Dec  9 16:53:06 2016
    835;   720; 66;1.319;Fri Dec  9 16:55:06 2016
    974;   840; 66;1.319;Fri Dec  9 16:57:06 2016
   1113;   960; 66;1.319;Fri Dec  9 16:59:06 2016
   1252;  1080; 66;1.319;Fri Dec  9 17:01:06 2016
   1391;  1200; 66;1.319;Fri Dec  9 17:03:06 2016
   1531;  1320; 66;1.319;Fri Dec  9 17:05:06 2016
   1670;  1440; 66;1.319;Fri Dec  9 17:07:06 2016
   1808;  1560; 66;1.319;Fri Dec  9 17:09:06 2016
   1947;  1680; 66;1.319;Fri Dec  9 17:11:06 2016
   2086;  1800; 66;1.319;Fri Dec  9 17:13:06 2016
   2087;  1800; 66;1.319;Fri Dec  9 17:13:06 2016
   2226;  1920; 66;1.319;Fri Dec  9 17:15:06 2016
   2365;  2040; 66;1.319;Fri Dec  9 17:17:06 2016
   2504;  2160; 66;1.319;Fri Dec  9 17:19:06 2016
   2643;  2280; 66;1.319;Fri Dec  9 17:21:06 2016
   2782;  2400; 66;1.319;Fri Dec  9 17:23:06 2016
   2921;  2520; 66;1.319;Fri Dec  9 17:25:06 2016
   3060;  2640; 66;1.319;Fri Dec  9 17:27:06 2016
   3199;  2760; 66;1.319;Fri Dec  9 17:29:06 2016
   3338;  2880; 66;1.319;Fri Dec  9 17:31:06 2016
   3477;  3000; 66;1.319;Fri Dec  9 17:33:06 2016
   3616;  3120; 66;1.319;Fri Dec  9 17:35:06 2016
   3755;  3240; 66;1.319;Fri Dec  9 17:37:06 2016
   3894;  3360; 66;1.319;Fri Dec  9 17:39:06 2016
   3895;  3360; 66;1.319;Fri Dec  9 17:39:06 2016
   4034;  3480; 66;1.319;Fri Dec  9 17:41:06 2016
   4173;  3600; 66;1.319;Fri Dec  9 17:43:06 2016
   4312;  3720; 66;1.319;Fri Dec  9 17:45:06 2016
   4451;  3840; 66;1.319;Fri Dec  9 17:47:06 2016
   4590;  3960; 66;1.319;Fri Dec  9 17:49:06 2016
   4729;  4080; 66;1.319;Fri Dec  9 17:51:06 2016
   4730;  4080; 65;1.300;Fri Dec  9 17:51:06 2016
   4869;  4200; 65;1.300;Fri Dec  9 17:53:06 2016
   5008;  4320; 65;1.300;Fri Dec  9 17:55:06 2016
   5147;  4440; 65;1.300;Fri Dec  9 17:57:06 2016
   5286;  4560; 65;1.300;Fri Dec  9 17:59:06 2016
   5425;  4680; 65;1.300;Fri Dec  9 18:01:06 2016
   5564;  4800; 65;1.300;Fri Dec  9 18:03:06 2016
   5703;  4920; 65;1.300;Fri Dec  9 18:05:06 2016
   5704;  4920; 65;1.300;Fri Dec  9 18:05:06 2016
   5843;  5040; 65;1.300;Fri Dec  9 18:07:06 2016
   5982;  5160; 65;1.300;Fri Dec  9 18:09:06 2016
   6121;  5280; 65;1.300;Fri Dec  9 18:11:06 2016
   6260;  5400; 65;1.300;Fri Dec  9 18:13:06 2016
   6399;  5520; 65;1.300;Fri Dec  9 18:15:06 2016
   6538;  5640; 65;1.300;Fri Dec  9 18:17:06 2016
   6539;  5640; 65;1.300;Fri Dec  9 18:17:06 2016
   6678;  5760; 65;1.300;Fri Dec  9 18:19:06 2016
   6816;  5880; 65;1.300;Fri Dec  9 18:21:06 2016
   6817;  5880; 65;1.300;Fri Dec  9 18:21:06 2016
   6956;  6000; 65;1.300;Fri Dec  9 18:23:06 2016
   7095;  6120; 65;1.300;Fri Dec  9 18:25:06 2016
   7234;  6240; 65;1.300;Fri Dec  9 18:27:06 2016
   7373;  6360; 65;1.300;Fri Dec  9 18:29:06 2016
   7512;  6480; 65;1.300;Fri Dec  9 18:31:06 2016
   7652;  6600; 65;1.300;Fri Dec  9 18:33:06 2016
   7791;  6720; 65;1.300;Fri Dec  9 18:35:06 2016
   7930;  6840; 65;1.300;Fri Dec  9 18:37:06 2016
   8069;  6960; 65;1.300;Fri Dec  9 18:39:06 2016
   8208;  7080; 65;1.300;Fri Dec  9 18:41:06 2016
   8347;  7200; 65;1.300;Fri Dec  9 18:43:06 2016
   8486;  7320; 65;1.300;Fri Dec  9 18:45:06 2016
   8625;  7440; 65;1.300;Fri Dec  9 18:47:06 2016
   8626;  7440; 65;1.300;Fri Dec  9 18:47:06 2016
   8765;  7560; 65;1.300;Fri Dec  9 18:49:06 2016
   8904;  7680; 65;1.300;Fri Dec  9 18:51:06 2016
   9043;  7800; 65;1.300;Fri Dec  9 18:53:06 2016
   9182;  7920; 65;1.300;Fri Dec  9 18:55:06 2016
   9321;  8040; 65;1.300;Fri Dec  9 18:57:06 2016
   9322;  8040; 65;1.300;Fri Dec  9 18:57:06 2016
   9461;  8160; 65;1.300;Fri Dec  9 18:59:06 2016
   9600;  8280; 65;1.300;Fri Dec  9 19:01:06 2016
   9739;  8400; 65;1.300;Fri Dec  9 19:03:06 2016
   9878;  8520; 65;1.300;Fri Dec  9 19:05:06 2016
  10017;  8640; 65;1.300;Fri Dec  9 19:07:06 2016
  10156;  8760; 65;1.300;Fri Dec  9 19:09:06 2016
  10157;  8760; 65;1.300;Fri Dec  9 19:09:06 2016
  10296;  8880; 65;1.300;Fri Dec  9 19:11:06 2016
  10435;  9000; 65;1.300;Fri Dec  9 19:13:06 2016
  10574;  9120; 65;1.300;Fri Dec  9 19:15:06 2016
  10713;  9240; 65;1.300;Fri Dec  9 19:17:06 2016
  10851;  9360; 65;1.300;Fri Dec  9 19:19:06 2016
  10990;  9480; 65;1.300;Fri Dec  9 19:21:06 2016
  11128;  9600; 65;1.300;Fri Dec  9 19:23:06 2016
  11129;  9600; 65;1.300;Fri Dec  9 19:23:06 2016
  11268;  9720; 65;1.300;Fri Dec  9 19:25:06 2016
  11407;  9840; 65;1.300;Fri Dec  9 19:27:06 2016
  11546;  9960; 65;1.300;Fri Dec  9 19:29:06 2016
  11685; 10080; 65;1.300;Fri Dec  9 19:31:06 2016
  11824; 10200; 65;1.300;Fri Dec  9 19:33:06 2016
  11963; 10320; 65;1.300;Fri Dec  9 19:35:06 2016
  11964; 10320; 65;1.300;Fri Dec  9 19:35:06 2016
  12102; 10440; 65;1.300;Fri Dec  9 19:37:06 2016
  12241; 10560; 65;1.300;Fri Dec  9 19:39:06 2016
  12380; 10680; 65;1.300;Fri Dec  9 19:41:06 2016
  12381; 10680; 65;1.300;Fri Dec  9 19:41:06 2016
  12520; 10800; 65;1.300;Fri Dec  9 19:43:06 2016
  12659; 10920; 65;1.300;Fri Dec  9 19:45:06 2016
  12798; 11040; 65;1.300;Fri Dec  9 19:47:06 2016
  12937; 11160; 65;1.300;Fri Dec  9 19:49:06 2016
  13076; 11280; 65;1.300;Fri Dec  9 19:51:06 2016
  13077; 11280; 65;1.300;Fri Dec  9 19:51:06 2016
  13216; 11400; 65;1.300;Fri Dec  9 19:53:06 2016
  13355; 11520; 65;1.300;Fri Dec  9 19:55:06 2016
  13494; 11640; 65;1.300;Fri Dec  9 19:57:06 2016
  13633; 11760; 65;1.300;Fri Dec  9 19:59:06 2016
  13772; 11880; 65;1.300;Fri Dec  9 20:01:06 2016
  13911; 12000; 65;1.300;Fri Dec  9 20:03:06 2016
  13912; 12000; 65;1.300;Fri Dec  9 20:03:06 2016
  14051; 12120; 65;1.300;Fri Dec  9 20:05:06 2016
  14190; 12240; 65;1.300;Fri Dec  9 20:07:06 2016
  14329; 12360; 65;1.300;Fri Dec  9 20:09:06 2016
  14468; 12480; 65;1.300;Fri Dec  9 20:11:06 2016
  14607; 12600; 65;1.300;Fri Dec  9 20:13:06 2016
  14608; 12600; 65;1.300;Fri Dec  9 20:13:06 2016
  14746; 12720; 65;1.300;Fri Dec  9 20:15:06 2016
  14747; 12720; 65;1.300;Fri Dec  9 20:15:06 2016
  14886; 12840; 65;1.300;Fri Dec  9 20:17:06 2016
  15025; 12960; 65;1.300;Fri Dec  9 20:19:06 2016
  15164; 13080; 65;1.300;Fri Dec  9 20:21:06 2016
  15303; 13200; 65;1.300;Fri Dec  9 20:23:06 2016
  15442; 13320; 65;1.300;Fri Dec  9 20:25:06 2016
  15581; 13440; 65;1.300;Fri Dec  9 20:27:06 2016
  15720; 13560; 65;1.300;Fri Dec  9 20:29:06 2016
  15721; 13560; 65;1.300;Fri Dec  9 20:29:06 2016
  15860; 13680; 65;1.300;Fri Dec  9 20:31:06 2016
  15999; 13800; 65;1.300;Fri Dec  9 20:33:06 2016
  16138; 13920; 65;1.300;Fri Dec  9 20:35:06 2016
  16277; 14040; 65;1.300;Fri Dec  9 20:37:06 2016
  16416; 14160; 65;1.300;Fri Dec  9 20:39:06 2016
  16555; 14280; 65;1.300;Fri Dec  9 20:41:06 2016
  16556; 14280; 65;1.300;Fri Dec  9 20:41:06 2016
  16695; 14400; 65;1.300;Fri Dec  9 20:43:06 2016
  16834; 14520; 65;1.300;Fri Dec  9 20:45:06 2016
  16973; 14640; 65;1.300;Fri Dec  9 20:47:06 2016
  17112; 14760; 65;1.300;Fri Dec  9 20:49:06 2016
  17251; 14880; 65;1.300;Fri Dec  9 20:51:06 2016
  17390; 15000; 65;1.300;Fri Dec  9 20:53:06 2016
  17391; 15000; 65;1.300;Fri Dec  9 20:53:06 2016
  17530; 15120; 65;1.300;Fri Dec  9 20:55:06 2016
  17669; 15240; 65;1.300;Fri Dec  9 20:57:06 2016
  17808; 15360; 65;1.300;Fri Dec  9 20:59:06 2016
  17947; 15480; 65;1.300;Fri Dec  9 21:01:06 2016
  18086; 15600; 65;1.300;Fri Dec  9 21:03:06 2016
  18087; 15600; 65;1.300;Fri Dec  9 21:03:06 2016
  18226; 15720; 65;1.300;Fri Dec  9 21:05:06 2016
  18365; 15840; 65;1.300;Fri Dec  9 21:07:06 2016
  18504; 15960; 65;1.300;Fri Dec  9 21:09:06 2016
  18643; 16080; 65;1.300;Fri Dec  9 21:11:06 2016
  18782; 16200; 65;1.300;Fri Dec  9 21:13:06 2016
  18921; 16320; 65;1.300;Fri Dec  9 21:15:06 2016
  19060; 16440; 65;1.300;Fri Dec  9 21:17:06 2016
  19061; 16440; 65;1.300;Fri Dec  9 21:17:06 2016
  19198; 16560; 65;1.300;Fri Dec  9 21:19:06 2016
  19337; 16680; 65;1.300;Fri Dec  9 21:21:06 2016
  19476; 16800; 65;1.300;Fri Dec  9 21:23:06 2016
  19615; 16920; 65;1.300;Fri Dec  9 21:25:06 2016
  19616; 16920; 65;1.300;Fri Dec  9 21:25:06 2016
  19755; 17040; 65;1.300;Fri Dec  9 21:27:06 2016
  19894; 17160; 65;1.300;Fri Dec  9 21:29:06 2016
  20033; 17280; 65;1.300;Fri Dec  9 21:31:06 2016
  20172; 17400; 65;1.300;Fri Dec  9 21:33:06 2016
  20311; 17520; 65;1.300;Fri Dec  9 21:35:06 2016
  20450; 17640; 65;1.300;Fri Dec  9 21:37:06 2016
  20589; 17760; 65;1.300;Fri Dec  9 21:39:06 2016
  20729; 17880; 65;1.300;Fri Dec  9 21:41:06 2016
  20867; 18000; 65;1.300;Fri Dec  9 21:43:06 2016
  20868; 18000; 65;1.300;Fri Dec  9 21:43:06 2016
  21007; 18120; 65;1.300;Fri Dec  9 21:45:06 2016
  21146; 18240; 65;1.300;Fri Dec  9 21:47:06 2016
  21284; 18360; 65;1.300;Fri Dec  9 21:49:06 2016
  21285; 18360; 65;1.300;Fri Dec  9 21:49:06 2016
  21424; 18480; 65;1.300;Fri Dec  9 21:51:06 2016
  21563; 18600; 65;1.300;Fri Dec  9 21:53:06 2016
  21702; 18720; 65;1.300;Fri Dec  9 21:55:06 2016
  21841; 18840; 65;1.300;Fri Dec  9 21:57:06 2016
  21980; 18960; 65;1.300;Fri Dec  9 21:59:06 2016
  22119; 19080; 65;1.300;Fri Dec  9 22:01:06 2016
  22120; 19080; 65;1.300;Fri Dec  9 22:01:06 2016
  22259; 19200; 65;1.300;Fri Dec  9 22:03:06 2016
  22398; 19320; 65;1.300;Fri Dec  9 22:05:06 2016
  22537; 19440; 64;1.280;Fri Dec  9 22:07:06 2016
  22676; 19560; 65;1.300;Fri Dec  9 22:09:06 2016
  22815; 19680; 64;1.280;Fri Dec  9 22:11:06 2016
  22955; 19800; 65;1.300;Fri Dec  9 22:13:06 2016
  23094; 19920; 64;1.280;Fri Dec  9 22:15:06 2016
  23233; 20040; 64;1.280;Fri Dec  9 22:17:06 2016
  23370; 20160; 64;1.280;Fri Dec  9 22:19:06 2016
  23509; 20280; 64;1.280;Fri Dec  9 22:21:06 2016
  23648; 20400; 64;1.280;Fri Dec  9 22:23:06 2016
  23787; 20520; 64;1.280;Fri Dec  9 22:25:06 2016
  23788; 20520; 64;1.280;Fri Dec  9 22:25:06 2016
  23927; 20640; 64;1.280;Fri Dec  9 22:27:06 2016
  24066; 20760; 64;1.280;Fri Dec  9 22:29:06 2016
  24205; 20880; 64;1.280;Fri Dec  9 22:31:06 2016
  24344; 21000; 64;1.280;Fri Dec  9 22:33:06 2016
  24483; 21120; 64;1.280;Fri Dec  9 22:35:06 2016
  24622; 21240; 64;1.280;Fri Dec  9 22:37:06 2016
  24623; 21240; 64;1.280;Fri Dec  9 22:37:06 2016
  24762; 21360; 64;1.280;Fri Dec  9 22:39:06 2016
  24900; 21480; 64;1.280;Fri Dec  9 22:41:06 2016
  25039; 21600; 64;1.280;Fri Dec  9 22:43:06 2016
  25040; 21600; 64;1.280;Fri Dec  9 22:43:06 2016
  25179; 21720; 64;1.280;Fri Dec  9 22:45:06 2016
  25318; 21840; 64;1.280;Fri Dec  9 22:47:06 2016
  25457; 21960; 64;1.280;Fri Dec  9 22:49:06 2016
  25596; 22080; 64;1.280;Fri Dec  9 22:51:06 2016
  25735; 22200; 64;1.280;Fri Dec  9 22:53:06 2016
  25875; 22320; 64;1.280;Fri Dec  9 22:55:06 2016
  26014; 22440; 64;1.280;Fri Dec  9 22:57:06 2016
  26153; 22560; 64;1.280;Fri Dec  9 22:59:06 2016
  26292; 22680; 64;1.280;Fri Dec  9 23:01:06 2016
  26431; 22800; 64;1.280;Fri Dec  9 23:03:06 2016
  26570; 22920; 64;1.280;Fri Dec  9 23:05:06 2016
  26571; 22920; 64;1.280;Fri Dec  9 23:05:06 2016
  26710; 23040; 64;1.280;Fri Dec  9 23:07:06 2016
  26849; 23160; 64;1.280;Fri Dec  9 23:09:06 2016
  26988; 23280; 64;1.280;Fri Dec  9 23:11:06 2016
  27127; 23400; 64;1.280;Fri Dec  9 23:13:06 2016
  27266; 23520; 64;1.280;Fri Dec  9 23:15:06 2016
  27405; 23640; 64;1.280;Fri Dec  9 23:17:06 2016
  27406; 23640; 64;1.280;Fri Dec  9 23:17:06 2016
  27545; 23760; 64;1.280;Fri Dec  9 23:19:06 2016
  27684; 23880; 64;1.280;Fri Dec  9 23:21:06 2016
  27823; 24000; 64;1.280;Fri Dec  9 23:23:06 2016
  27962; 24120; 64;1.280;Fri Dec  9 23:25:06 2016
  28101; 24240; 64;1.280;Fri Dec  9 23:27:06 2016
  28240; 24360; 64;1.280;Fri Dec  9 23:29:06 2016
  28241; 24360; 64;1.280;Fri Dec  9 23:29:06 2016
  28380; 24480; 64;1.280;Fri Dec  9 23:31:06 2016
  28519; 24600; 64;1.280;Fri Dec  9 23:33:06 2016
  28658; 24720; 64;1.280;Fri Dec  9 23:35:06 2016
  28797; 24840; 64;1.280;Fri Dec  9 23:37:06 2016
  28936; 24960; 64;1.280;Fri Dec  9 23:39:06 2016
  29075; 25080; 64;1.280;Fri Dec  9 23:41:06 2016
  29214; 25200; 64;1.280;Fri Dec  9 23:43:06 2016
  29215; 25200; 64;1.280;Fri Dec  9 23:43:06 2016
  29354; 25320; 64;1.280;Fri Dec  9 23:45:06 2016
  29492; 25440; 64;1.280;Fri Dec  9 23:47:06 2016
  29631; 25560; 64;1.280;Fri Dec  9 23:49:06 2016
  29632; 25560; 64;1.280;Fri Dec  9 23:49:06 2016
  29771; 25680; 64;1.280;Fri Dec  9 23:51:06 2016
  29910; 25800; 64;1.280;Fri Dec  9 23:53:06 2016
  30049; 25920; 64;1.280;Fri Dec  9 23:55:06 2016
  30188; 26040; 64;1.280;Fri Dec  9 23:57:06 2016
  30327; 26160; 64;1.280;Fri Dec  9 23:59:06 2016
  30466; 26280; 64;1.280;Sat Dec 10 00:01:06 2016
  30467; 26280; 64;1.280;Sat Dec 10 00:01:06 2016
  30606; 26400; 64;1.280;Sat Dec 10 00:03:06 2016
  30745; 26520; 64;1.280;Sat Dec 10 00:05:06 2016
  30884; 26640; 64;1.280;Sat Dec 10 00:07:06 2016
  31023; 26760; 64;1.280;Sat Dec 10 00:09:06 2016
  31162; 26880; 64;1.280;Sat Dec 10 00:11:06 2016
  31301; 27000; 64;1.280;Sat Dec 10 00:13:06 2016
  31440; 27120; 64;1.280;Sat Dec 10 00:15:06 2016
  31579; 27240; 64;1.280;Sat Dec 10 00:17:06 2016
  31580; 27240; 64;1.280;Sat Dec 10 00:17:06 2016
  31718; 27360; 64;1.280;Sat Dec 10 00:19:06 2016
  31719; 27360; 64;1.280;Sat Dec 10 00:19:06 2016
  31858; 27480; 64;1.280;Sat Dec 10 00:21:06 2016
  31997; 27600; 64;1.280;Sat Dec 10 00:23:06 2016
  32136; 27720; 64;1.280;Sat Dec 10 00:25:06 2016
  32275; 27840; 64;1.280;Sat Dec 10 00:27:06 2016
  32414; 27960; 64;1.280;Sat Dec 10 00:29:06 2016
  32553; 28080; 64;1.280;Sat Dec 10 00:31:06 2016
  32554; 28080; 64;1.280;Sat Dec 10 00:31:06 2016
  32693; 28200; 64;1.280;Sat Dec 10 00:33:06 2016
  32832; 28320; 64;1.280;Sat Dec 10 00:35:06 2016
  32971; 28440; 64;1.280;Sat Dec 10 00:37:06 2016
  33110; 28560; 64;1.280;Sat Dec 10 00:39:06 2016
  33249; 28680; 64;1.280;Sat Dec 10 00:41:06 2016
  33389; 28800; 64;1.280;Sat Dec 10 00:43:06 2016
  33528; 28920; 64;1.280;Sat Dec 10 00:45:06 2016
  33667; 29040; 64;1.280;Sat Dec 10 00:47:06 2016
  33806; 29160; 64;1.280;Sat Dec 10 00:49:06 2016
  33945; 29280; 64;1.280;Sat Dec 10 00:51:06 2016
  34084; 29400; 64;1.280;Sat Dec 10 00:53:06 2016
  34223; 29520; 64;1.280;Sat Dec 10 00:55:06 2016
  34362; 29640; 64;1.280;Sat Dec 10 00:57:06 2016
  34501; 29760; 64;1.280;Sat Dec 10 00:59:06 2016
  34640; 29880; 64;1.280;Sat Dec 10 01:01:06 2016
  34641; 29880; 64;1.280;Sat Dec 10 01:01:06 2016
  34780; 30000; 64;1.280;Sat Dec 10 01:03:06 2016
  34919; 30120; 64;1.280;Sat Dec 10 01:05:06 2016
  35058; 30240; 64;1.280;Sat Dec 10 01:07:06 2016
  35197; 30360; 64;1.280;Sat Dec 10 01:09:06 2016
  35336; 30480; 64;1.280;Sat Dec 10 01:11:06 2016
  35337; 30480; 64;1.280;Sat Dec 10 01:11:06 2016
  35476; 30600; 64;1.280;Sat Dec 10 01:13:06 2016
  35615; 30720; 64;1.280;Sat Dec 10 01:15:06 2016
  35754; 30840; 64;1.280;Sat Dec 10 01:17:06 2016
  35891; 30960; 64;1.280;Sat Dec 10 01:19:06 2016
  35892; 30960; 64;1.280;Sat Dec 10 01:19:06 2016
  36031; 31080; 64;1.280;Sat Dec 10 01:21:06 2016
  36170; 31200; 64;1.280;Sat Dec 10 01:23:06 2016
  36309; 31320; 64;1.280;Sat Dec 10 01:25:06 2016
  36448; 31440; 64;1.280;Sat Dec 10 01:27:06 2016
  36587; 31560; 64;1.280;Sat Dec 10 01:29:06 2016
  36726; 31680; 64;1.280;Sat Dec 10 01:31:06 2016
  36727; 31680; 64;1.280;Sat Dec 10 01:31:06 2016
  36866; 31800; 64;1.280;Sat Dec 10 01:33:06 2016
  37005; 31920; 64;1.280;Sat Dec 10 01:35:06 2016
  37144; 32040; 64;1.280;Sat Dec 10 01:37:06 2016
  37283; 32160; 64;1.280;Sat Dec 10 01:39:06 2016
  37422; 32280; 64;1.280;Sat Dec 10 01:41:06 2016
  37561; 32400; 64;1.280;Sat Dec 10 01:43:06 2016
  37562; 32400; 64;1.280;Sat Dec 10 01:43:06 2016
  37701; 32520; 64;1.280;Sat Dec 10 01:45:06 2016
  37840; 32640; 64;1.280;Sat Dec 10 01:47:06 2016
  37979; 32760; 64;1.280;Sat Dec 10 01:49:06 2016
  38118; 32880; 64;1.280;Sat Dec 10 01:51:06 2016
  38257; 33000; 64;1.280;Sat Dec 10 01:53:06 2016
  38396; 33120; 64;1.280;Sat Dec 10 01:55:06 2016
  38397; 33120; 64;1.280;Sat Dec 10 01:55:06 2016
  38536; 33240; 64;1.280;Sat Dec 10 01:57:06 2016
  38675; 33360; 64;1.280;Sat Dec 10 01:59:06 2016
  38814; 33480; 64;1.280;Sat Dec 10 02:01:06 2016
  38953; 33600; 64;1.280;Sat Dec 10 02:03:06 2016
  39092; 33720; 64;1.280;Sat Dec 10 02:05:06 2016
  39231; 33840; 64;1.280;Sat Dec 10 02:07:06 2016
  39232; 33840; 64;1.280;Sat Dec 10 02:07:06 2016
  39371; 33960; 64;1.280;Sat Dec 10 02:09:06 2016
  39510; 34080; 64;1.280;Sat Dec 10 02:11:06 2016
  39649; 34200; 64;1.280;Sat Dec 10 02:13:06 2016
  39788; 34320; 64;1.280;Sat Dec 10 02:15:06 2016
  39927; 34440; 64;1.280;Sat Dec 10 02:17:06 2016
  40066; 34560; 64;1.280;Sat Dec 10 02:19:06 2016
  40067; 34560; 64;1.280;Sat Dec 10 02:19:06 2016
  40206; 34680; 64;1.280;Sat Dec 10 02:21:06 2016
  40345; 34800; 64;1.280;Sat Dec 10 02:23:06 2016
  40484; 34920; 64;1.280;Sat Dec 10 02:25:06 2016
  40623; 35040; 64;1.280;Sat Dec 10 02:27:06 2016
  40762; 35160; 64;1.280;Sat Dec 10 02:29:06 2016
  40902; 35280; 64;1.280;Sat Dec 10 02:31:06 2016
  41041; 35400; 64;1.280;Sat Dec 10 02:33:06 2016
  41180; 35520; 64;1.280;Sat Dec 10 02:35:06 2016
