COP;Cycle;Step;mA;ET;TT;Brut;Volts;Date
C;01;01;   0;     0;     0;1019;1.275;Tue Feb 28 06:01:58 2017
C;01;01;   0;    10;    10;1019;1.275;Tue Feb 28 06:02:08 2017
C;01;01;   0;    20;    20;1019;1.275;Tue Feb 28 06:02:18 2017
C;01;01;   0;    30;    30;1019;1.275;Tue Feb 28 06:02:28 2017
C;01;01;   0;    40;    40;1019;1.275;Tue Feb 28 06:02:38 2017
C;01;01;   0;    50;    50;1019;1.275;Tue Feb 28 06:02:48 2017
C;01;01;   0;    60;    60;1019;1.275;Tue Feb 28 06:02:58 2017
C;01;01;   0;    70;    70;1019;1.275;Tue Feb 28 06:03:08 2017
C;01;01;   0;    80;    80;1020;1.276;Tue Feb 28 06:03:18 2017
C;01;01;   0;    90;    90;1020;1.276;Tue Feb 28 06:03:28 2017
C;01;01;   0;   100;   100;1019;1.275;Tue Feb 28 06:03:38 2017
C;01;01;   0;   110;   110;1020;1.276;Tue Feb 28 06:03:48 2017
C;01;01;   0;   120;   120;1019;1.275;Tue Feb 28 06:03:58 2017
C;01;01;   0;   130;   130;1019;1.275;Tue Feb 28 06:04:08 2017
C;01;01;   0;   140;   140;1020;1.276;Tue Feb 28 06:04:18 2017
C;01;01;   0;   150;   150;1019;1.275;Tue Feb 28 06:04:28 2017
C;01;01;   0;   160;   160;1019;1.275;Tue Feb 28 06:04:38 2017
C;01;01;   0;   180;   180;1020;1.276;Tue Feb 28 06:04:58 2017
C;01;01;   0;   190;   190;1019;1.275;Tue Feb 28 06:05:08 2017
C;01;01;   0;   200;   200;1020;1.276;Tue Feb 28 06:05:18 2017
C;01;01;   0;   210;   210;1020;1.276;Tue Feb 28 06:05:28 2017
C;01;01;   0;   220;   220;1019;1.275;Tue Feb 28 06:05:38 2017
C;01;01;   0;   230;   230;1020;1.276;Tue Feb 28 06:05:48 2017
C;01;01;   0;   240;   240;1019;1.275;Tue Feb 28 06:05:58 2017
C;01;01;   0;   250;   250;1019;1.275;Tue Feb 28 06:06:08 2017
C;01;01;   0;   260;   260;1019;1.275;Tue Feb 28 06:06:18 2017
C;01;01;   0;   270;   270;1019;1.275;Tue Feb 28 06:06:28 2017
C;01;01;   0;   280;   280;1019;1.275;Tue Feb 28 06:06:38 2017
C;01;01;   0;   300;   300;1020;1.276;Tue Feb 28 06:06:58 2017
C;01;01;   0;   310;   310;1019;1.275;Tue Feb 28 06:07:08 2017
C;01;01;   0;   320;   320;1019;1.275;Tue Feb 28 06:07:18 2017
C;01;01;   0;   330;   330;1019;1.275;Tue Feb 28 06:07:28 2017
C;01;01;   0;   340;   340;1019;1.275;Tue Feb 28 06:07:38 2017
C;01;01;   0;   350;   350;1019;1.275;Tue Feb 28 06:07:48 2017
C;01;01;   0;   360;   360;1019;1.275;Tue Feb 28 06:07:58 2017
C;01;01;   0;   370;   370;1019;1.275;Tue Feb 28 06:08:08 2017
C;01;01;   0;   380;   380;1019;1.275;Tue Feb 28 06:08:18 2017
C;01;01;   0;   390;   390;1020;1.276;Tue Feb 28 06:08:28 2017
C;01;01;   0;   400;   400;1020;1.276;Tue Feb 28 06:08:38 2017
C;01;01;   0;   420;   420;1019;1.275;Tue Feb 28 06:08:58 2017
C;01;01;   0;   430;   430;1019;1.275;Tue Feb 28 06:09:08 2017
C;01;01;   0;   440;   440;1019;1.275;Tue Feb 28 06:09:18 2017
C;01;01;   0;   450;   450;1019;1.275;Tue Feb 28 06:09:28 2017
C;01;01;   0;   460;   460;1019;1.275;Tue Feb 28 06:09:38 2017
C;01;01;   0;   470;   470;1020;1.276;Tue Feb 28 06:09:48 2017
C;01;01;   0;   480;   480;1020;1.276;Tue Feb 28 06:09:58 2017
C;01;01;   0;   490;   490;1019;1.275;Tue Feb 28 06:10:08 2017
C;01;01;   0;   500;   500;1019;1.275;Tue Feb 28 06:10:18 2017
C;01;01;   0;   510;   510;1019;1.275;Tue Feb 28 06:10:28 2017
C;01;01;   0;   520;   520;1019;1.275;Tue Feb 28 06:10:38 2017
C;01;01;   0;   540;   540;1019;1.275;Tue Feb 28 06:10:58 2017
C;01;01;   0;   550;   550;1019;1.275;Tue Feb 28 06:11:08 2017
C;01;01;   0;   560;   560;1020;1.276;Tue Feb 28 06:11:18 2017
C;01;01;   0;   570;   570;1019;1.275;Tue Feb 28 06:11:28 2017
C;01;01;   0;   580;   580;1019;1.275;Tue Feb 28 06:11:38 2017
C;01;01;   0;   590;   590;1019;1.275;Tue Feb 28 06:11:48 2017
C;01;01;   0;   600;   600;1019;1.275;Tue Feb 28 06:11:58 2017
C;01;01;   0;   610;   610;1020;1.276;Tue Feb 28 06:12:08 2017
C;01;01;   0;   620;   620;1019;1.275;Tue Feb 28 06:12:18 2017
C;01;01;   0;   630;   630;1019;1.275;Tue Feb 28 06:12:28 2017
