N°;Secondes;Brut;Volts;Date
    136;   120; 64;1.289;Mon Dec 12 20:37:52 2016
    275;   240; 64;1.289;Mon Dec 12 20:39:52 2016
    414;   360; 64;1.289;Mon Dec 12 20:41:52 2016
    415;   360; 64;1.289;Mon Dec 12 20:41:52 2016
    554;   480; 64;1.289;Mon Dec 12 20:43:52 2016
    693;   600; 63;1.269;Mon Dec 12 20:45:52 2016
    832;   720; 63;1.269;Mon Dec 12 20:47:52 2016
    971;   840; 63;1.269;Mon Dec 12 20:49:52 2016
   1110;   960; 63;1.269;Mon Dec 12 20:51:52 2016
   1111;   960; 63;1.269;Mon Dec 12 20:51:52 2016
   1249;  1080; 63;1.269;Mon Dec 12 20:53:52 2016
   1387;  1200; 63;1.269;Mon Dec 12 20:55:52 2016
   1526;  1320; 63;1.269;Mon Dec 12 20:57:52 2016
   1665;  1440; 63;1.269;Mon Dec 12 20:59:52 2016
   1804;  1560; 63;1.269;Mon Dec 12 21:01:52 2016
   1805;  1560; 63;1.269;Mon Dec 12 21:01:52 2016
   1944;  1680; 63;1.269;Mon Dec 12 21:03:52 2016
   2083;  1800; 62;1.250;Mon Dec 12 21:05:52 2016
   2222;  1920; 62;1.250;Mon Dec 12 21:07:52 2016
   2361;  2040; 62;1.250;Mon Dec 12 21:09:52 2016
   2500;  2160; 62;1.250;Mon Dec 12 21:11:52 2016
   2639;  2280; 62;1.250;Mon Dec 12 21:13:52 2016
   2640;  2280; 62;1.250;Mon Dec 12 21:13:52 2016
   2779;  2400; 62;1.250;Mon Dec 12 21:15:52 2016
   2918;  2520; 62;1.250;Mon Dec 12 21:17:52 2016
   3057;  2640; 62;1.250;Mon Dec 12 21:19:52 2016
   3196;  2760; 62;1.250;Mon Dec 12 21:21:52 2016
   3335;  2880; 62;1.250;Mon Dec 12 21:23:52 2016
   3474;  3000; 62;1.250;Mon Dec 12 21:25:52 2016
   3614;  3120; 62;1.250;Mon Dec 12 21:27:52 2016
   3753;  3240; 62;1.250;Mon Dec 12 21:29:52 2016
   3892;  3360; 62;1.250;Mon Dec 12 21:31:52 2016
   4031;  3480; 62;1.250;Mon Dec 12 21:33:52 2016
   4170;  3600; 62;1.250;Mon Dec 12 21:35:52 2016
   4309;  3720; 62;1.250;Mon Dec 12 21:37:52 2016
   4448;  3840; 62;1.250;Mon Dec 12 21:39:52 2016
   4587;  3960; 61;1.230;Mon Dec 12 21:41:52 2016
   4588;  3960; 61;1.230;Mon Dec 12 21:41:52 2016
   4727;  4080; 61;1.230;Mon Dec 12 21:43:52 2016
   4866;  4200; 61;1.230;Mon Dec 12 21:45:52 2016
   5005;  4320; 61;1.230;Mon Dec 12 21:47:52 2016
   5144;  4440; 61;1.230;Mon Dec 12 21:49:52 2016
   5283;  4560; 61;1.230;Mon Dec 12 21:51:52 2016
   5284;  4560; 61;1.230;Mon Dec 12 21:51:52 2016
   5423;  4680; 61;1.230;Mon Dec 12 21:53:52 2016
   5562;  4800; 61;1.230;Mon Dec 12 21:55:52 2016
   5701;  4920; 61;1.230;Mon Dec 12 21:57:52 2016
   5840;  5040; 61;1.230;Mon Dec 12 21:59:52 2016
   5979;  5160; 61;1.230;Mon Dec 12 22:01:52 2016
   6118;  5280; 61;1.230;Mon Dec 12 22:03:52 2016
   6119;  5280; 61;1.230;Mon Dec 12 22:03:52 2016
   6258;  5400; 61;1.230;Mon Dec 12 22:05:52 2016
   6397;  5520; 61;1.230;Mon Dec 12 22:07:52 2016
   6536;  5640; 61;1.230;Mon Dec 12 22:09:52 2016
   6675;  5760; 60;1.211;Mon Dec 12 22:11:52 2016
   6814;  5880; 60;1.211;Mon Dec 12 22:13:52 2016
   6953;  6000; 60;1.211;Mon Dec 12 22:15:52 2016
   6954;  6000; 60;1.211;Mon Dec 12 22:15:52 2016
   7092;  6120; 60;1.211;Mon Dec 12 22:17:52 2016
   7231;  6240; 60;1.211;Mon Dec 12 22:19:52 2016
   7370;  6360; 60;1.211;Mon Dec 12 22:21:52 2016
   7509;  6480; 60;1.211;Mon Dec 12 22:23:52 2016
   7648;  6600; 60;1.211;Mon Dec 12 22:25:52 2016
   7649;  6600; 60;1.211;Mon Dec 12 22:25:52 2016
   7788;  6720; 60;1.211;Mon Dec 12 22:27:52 2016
   7927;  6840; 60;1.211;Mon Dec 12 22:29:52 2016
