N°;Secondes;Brut;Volts;Date
      0;     5;1019;1.275;Wed Feb 22 15:41:24 2017
      1;    15;1051;1.315;Wed Feb 22 15:41:34 2017
      2;    25;1053;1.317;Wed Feb 22 15:41:44 2017
      3;    35;1053;1.317;Wed Feb 22 15:41:54 2017
      4;    45;1054;1.318;Wed Feb 22 15:42:04 2017
      5;    55;1054;1.318;Wed Feb 22 15:42:14 2017
      6;    65;1056;1.321;Wed Feb 22 15:42:24 2017
      7;    75;1057;1.322;Wed Feb 22 15:42:34 2017
      8;    85;1057;1.322;Wed Feb 22 15:42:44 2017
      9;    95;1058;1.323;Wed Feb 22 15:42:54 2017
     10;   105;1058;1.323;Wed Feb 22 15:43:04 2017
     11;   115;1058;1.323;Wed Feb 22 15:43:14 2017
     12;   125;1059;1.325;Wed Feb 22 15:43:24 2017
     13;   135;1059;1.325;Wed Feb 22 15:43:34 2017
     14;   145;1060;1.326;Wed Feb 22 15:43:44 2017
     15;   155;1060;1.326;Wed Feb 22 15:43:54 2017
     16;   165;1060;1.326;Wed Feb 22 15:44:04 2017
     17;   176;1060;1.326;Wed Feb 22 15:44:15 2017
     18;   186;1061;1.327;Wed Feb 22 15:44:25 2017
     19;   196;1061;1.327;Wed Feb 22 15:44:35 2017
     20;   206;1061;1.327;Wed Feb 22 15:44:45 2017
     21;   216;1062;1.328;Wed Feb 22 15:44:55 2017
     22;   226;1062;1.328;Wed Feb 22 15:45:05 2017
     23;   236;1062;1.328;Wed Feb 22 15:45:15 2017
     24;   246;1063;1.330;Wed Feb 22 15:45:25 2017
     25;   256;1063;1.330;Wed Feb 22 15:45:35 2017
     26;   266;1063;1.330;Wed Feb 22 15:45:45 2017
     27;   276;1064;1.331;Wed Feb 22 15:45:55 2017
     28;   286;1064;1.331;Wed Feb 22 15:46:05 2017
     29;   296;1064;1.331;Wed Feb 22 15:46:15 2017
     30;   306;1064;1.331;Wed Feb 22 15:46:25 2017
     31;   316;1065;1.332;Wed Feb 22 15:46:35 2017
     32;   326;1065;1.332;Wed Feb 22 15:46:45 2017
     33;   336;1065;1.332;Wed Feb 22 15:46:55 2017
     34;   346;1065;1.332;Wed Feb 22 15:47:05 2017
     35;   356;1066;1.333;Wed Feb 22 15:47:15 2017
     36;   366;1066;1.333;Wed Feb 22 15:47:25 2017
     37;   376;1066;1.333;Wed Feb 22 15:47:35 2017
     38;   386;1066;1.333;Wed Feb 22 15:47:45 2017
     39;   396;1066;1.333;Wed Feb 22 15:47:55 2017
     40;   407;1066;1.333;Wed Feb 22 15:48:06 2017
     41;   417;1067;1.335;Wed Feb 22 15:48:16 2017
     42;   427;1067;1.335;Wed Feb 22 15:48:26 2017
     43;   437;1068;1.336;Wed Feb 22 15:48:36 2017
     44;   447;1068;1.336;Wed Feb 22 15:48:46 2017
     45;   457;1068;1.336;Wed Feb 22 15:48:56 2017
     46;   467;1068;1.336;Wed Feb 22 15:49:06 2017
     47;   477;1068;1.336;Wed Feb 22 15:49:16 2017
     48;   487;1069;1.337;Wed Feb 22 15:49:26 2017
     49;   497;1069;1.337;Wed Feb 22 15:49:36 2017
     50;   507;1069;1.337;Wed Feb 22 15:49:46 2017
     51;   517;1069;1.337;Wed Feb 22 15:49:56 2017
     52;   527;1069;1.337;Wed Feb 22 15:50:06 2017
     53;   537;1070;1.338;Wed Feb 22 15:50:16 2017
     54;   547;1069;1.337;Wed Feb 22 15:50:26 2017
     55;   557;1070;1.338;Wed Feb 22 15:50:36 2017
     56;   567;1070;1.338;Wed Feb 22 15:50:46 2017
     57;   577;1071;1.340;Wed Feb 22 15:50:56 2017
     58;   587;1070;1.338;Wed Feb 22 15:51:06 2017
     59;   597;1071;1.340;Wed Feb 22 15:51:16 2017
     60;   607;1071;1.340;Wed Feb 22 15:51:26 2017
     61;   617;1071;1.340;Wed Feb 22 15:51:36 2017
     62;   628;1072;1.341;Wed Feb 22 15:51:47 2017
     63;   638;1072;1.341;Wed Feb 22 15:51:57 2017
     64;   648;1072;1.341;Wed Feb 22 15:52:07 2017
     65;   658;1072;1.341;Wed Feb 22 15:52:17 2017
     66;   668;1072;1.341;Wed Feb 22 15:52:27 2017
     67;   678;1072;1.341;Wed Feb 22 15:52:37 2017
     68;   688;1073;1.342;Wed Feb 22 15:52:47 2017
     69;   698;1073;1.342;Wed Feb 22 15:52:57 2017
     70;   708;1073;1.342;Wed Feb 22 15:53:07 2017
     71;   718;1073;1.342;Wed Feb 22 15:53:17 2017
     72;   728;1073;1.342;Wed Feb 22 15:53:27 2017
     73;   738;1074;1.343;Wed Feb 22 15:53:37 2017
     74;   748;1074;1.343;Wed Feb 22 15:53:47 2017
     75;   758;1074;1.343;Wed Feb 22 15:53:57 2017
     76;   768;1074;1.343;Wed Feb 22 15:54:07 2017
     77;   778;1075;1.345;Wed Feb 22 15:54:17 2017
     78;   788;1075;1.345;Wed Feb 22 15:54:27 2017
     79;   798;1075;1.345;Wed Feb 22 15:54:37 2017
     80;   808;1075;1.345;Wed Feb 22 15:54:47 2017
     81;   818;1075;1.345;Wed Feb 22 15:54:57 2017
     82;   828;1075;1.345;Wed Feb 22 15:55:07 2017
     83;   838;1076;1.346;Wed Feb 22 15:55:17 2017
     84;   848;1076;1.346;Wed Feb 22 15:55:27 2017
     85;   859;1076;1.346;Wed Feb 22 15:55:38 2017
     86;   869;1076;1.346;Wed Feb 22 15:55:48 2017
     87;   879;1076;1.346;Wed Feb 22 15:55:58 2017
     88;   889;1076;1.346;Wed Feb 22 15:56:08 2017
     89;   899;1076;1.346;Wed Feb 22 15:56:18 2017
     90;   909;1077;1.347;Wed Feb 22 15:56:28 2017
     91;   919;1077;1.347;Wed Feb 22 15:56:38 2017
     92;   929;1077;1.347;Wed Feb 22 15:56:48 2017
     93;   939;1077;1.347;Wed Feb 22 15:56:58 2017
     94;   949;1077;1.347;Wed Feb 22 15:57:08 2017
     95;   959;1078;1.348;Wed Feb 22 15:57:18 2017
     96;   969;1078;1.348;Wed Feb 22 15:57:28 2017
     97;   979;1078;1.348;Wed Feb 22 15:57:38 2017
     98;   989;1078;1.348;Wed Feb 22 15:57:48 2017
     99;   999;1078;1.348;Wed Feb 22 15:57:58 2017
    100;  1009;1078;1.348;Wed Feb 22 15:58:08 2017
    101;  1019;1079;1.349;Wed Feb 22 15:58:18 2017
    102;  1029;1079;1.349;Wed Feb 22 15:58:28 2017
    103;  1039;1079;1.349;Wed Feb 22 15:58:38 2017
    104;  1049;1079;1.349;Wed Feb 22 15:58:48 2017
    105;  1059;1079;1.349;Wed Feb 22 15:58:58 2017
    106;  1069;1079;1.349;Wed Feb 22 15:59:08 2017
    107;  1080;1080;1.351;Wed Feb 22 15:59:19 2017
    108;  1090;1080;1.351;Wed Feb 22 15:59:29 2017
    109;  1100;1080;1.351;Wed Feb 22 15:59:39 2017
    110;  1110;1080;1.351;Wed Feb 22 15:59:49 2017
    111;  1120;1080;1.351;Wed Feb 22 15:59:59 2017
    112;  1130;1080;1.351;Wed Feb 22 16:00:09 2017
    113;  1140;1080;1.351;Wed Feb 22 16:00:19 2017
    114;  1150;1081;1.352;Wed Feb 22 16:00:29 2017
    115;  1160;1081;1.352;Wed Feb 22 16:00:39 2017
    116;  1170;1081;1.352;Wed Feb 22 16:00:49 2017
    117;  1180;1081;1.352;Wed Feb 22 16:00:59 2017
    118;  1190;1081;1.352;Wed Feb 22 16:01:09 2017
    119;  1200;1081;1.352;Wed Feb 22 16:01:19 2017
    120;  1210;1081;1.352;Wed Feb 22 16:01:29 2017
    121;  1220;1082;1.353;Wed Feb 22 16:01:39 2017
    122;  1230;1082;1.353;Wed Feb 22 16:01:49 2017
    123;  1240;1082;1.353;Wed Feb 22 16:01:59 2017
    124;  1250;1082;1.353;Wed Feb 22 16:02:09 2017
    125;  1260;1082;1.353;Wed Feb 22 16:02:19 2017
    126;  1270;1083;1.354;Wed Feb 22 16:02:29 2017
    127;  1280;1083;1.354;Wed Feb 22 16:02:39 2017
    128;  1290;1083;1.354;Wed Feb 22 16:02:49 2017
    129;  1300;1083;1.354;Wed Feb 22 16:02:59 2017
    130;  1311;1083;1.354;Wed Feb 22 16:03:10 2017
    131;  1321;1083;1.354;Wed Feb 22 16:03:20 2017
