     0;    1; 58;1.163;Tue Dec  6 06:42:35 2016
     3;   32; 57;1.143;Tue Dec  6 06:43:06 2016
     6;   63; 56;1.124;Tue Dec  6 06:43:37 2016
    10;  104; 55;1.104;Tue Dec  6 06:44:18 2016
    17;  177; 54;1.085;Tue Dec  6 06:45:31 2016
    28;  291; 53;1.065;Tue Dec  6 06:47:25 2016
    46;  477; 52;1.046;Tue Dec  6 06:50:31 2016
   105; 1089; 51;1.026;Tue Dec  6 07:00:43 2016
   429; 4446; 50;1.007;Tue Dec  6 07:56:40 2016
   795; 8238; 49;0.987;Tue Dec  6 08:59:52 2016
  1005;10414; 48;0.968;Tue Dec  6 09:36:08 2016
  1160;12020; 47;0.948;Tue Dec  6 10:02:54 2016
  1277;13233; 46;0.928;Tue Dec  6 10:23:07 2016
  1362;14114; 45;0.909;Tue Dec  6 10:37:48 2016
  1427;14787; 44;0.889;Tue Dec  6 10:49:01 2016
  1474;15274; 43;0.870;Tue Dec  6 10:57:08 2016
  1507;15616; 42;0.850;Tue Dec  6 11:02:50 2016
  1526;15813; 41;0.831;Tue Dec  6 11:06:07 2016
  1540;15958; 40;0.811;Tue Dec  6 11:08:32 2016
  1550;16062; 39;0.792;Tue Dec  6 11:10:16 2016
  1556;16124; 38;0.772;Tue Dec  6 11:11:18 2016
  1561;16176; 37;0.753;Tue Dec  6 11:12:10 2016
  1566;16227; 36;0.733;Tue Dec  6 11:13:01 2016
  1569;16259; 35;0.714;Tue Dec  6 11:13:33 2016
  1571;16279; 34;0.694;Tue Dec  6 11:13:53 2016
  1574;16310; 33;0.675;Tue Dec  6 11:14:24 2016
  1576;16331; 32;0.655;Tue Dec  6 11:14:45 2016
  1578;16352; 31;0.635;Tue Dec  6 11:15:06 2016
  1580;16373; 30;0.616;Tue Dec  6 11:15:27 2016
  1582;16393; 29;0.596;Tue Dec  6 11:15:47 2016
  1587;16445; 28;0.577;Tue Dec  6 11:16:39 2016
  1592;16497; 27;0.557;Tue Dec  6 11:17:31 2016
  1597;16549; 26;0.538;Tue Dec  6 11:18:23 2016
  1602;16600; 25;0.518;Tue Dec  6 11:19:14 2016
  1607;16652; 24;0.499;Tue Dec  6 11:20:06 2016
  1612;16704; 23;0.479;Tue Dec  6 11:20:58 2016
  1617;16756; 22;0.460;Tue Dec  6 11:21:50 2016
  1621;16797; 21;0.440;Tue Dec  6 11:22:31 2016
  1625;16839; 20;0.421;Tue Dec  6 11:23:13 2016
  1628;16870; 19;0.401;Tue Dec  6 11:23:44 2016
  1631;16901; 18;0.382;Tue Dec  6 11:24:15 2016
  1634;16932; 17;0.362;Tue Dec  6 11:24:46 2016
  1637;16963; 16;0.343;Tue Dec  6 11:25:17 2016
