N°;Secondes;Brut;Volts;Date
     0;     0; 63;1.260;Thu Dec  8 11:38:01 2016
     2;    21; 62;1.241;Thu Dec  8 11:38:22 2016
    90;   933; 61;1.221;Thu Dec  8 11:53:34 2016
   526;  5451; 60;1.202;Thu Dec  8 13:08:52 2016
   984; 10201; 59;1.182;Thu Dec  8 14:28:02 2016
  1332; 13807; 58;1.163;Thu Dec  8 15:28:08 2016
  1632; 16916; 57;1.143;Thu Dec  8 16:19:57 2016
  1815; 18812; 56;1.124;Thu Dec  8 16:51:33 2016
  1942; 20128; 55;1.104;Thu Dec  8 17:13:29 2016
  2026; 20999; 54;1.085;Thu Dec  8 17:28:00 2016
