N°;Secondes;Brut;Volts;Date
     0;     0; 68;1.358;Thu Dec  8 22:52:30 2016
    35;   363; 67;1.339;Thu Dec  8 22:58:33 2016
   389;  4031; 66;1.319;Thu Dec  8 23:59:41 2016
  1029; 10663; 65;1.300;Fri Dec  9 01:50:13 2016
  2055; 21295; 64;1.280;Fri Dec  9 04:47:25 2016
  3222; 33389; 63;1.260;Fri Dec  9 08:08:59 2016
  3737; 38727; 62;1.241;Fri Dec  9 09:37:57 2016
  4283; 44386; 61;1.221;Fri Dec  9 11:12:16 2016
  4643; 48117; 60;1.202;Fri Dec  9 12:14:27 2016
  5038; 52211; 59;1.182;Fri Dec  9 13:22:41 2016
  5323; 55164; 58;1.163;Fri Dec  9 14:11:54 2016
  5553; 57547; 57;1.143;Fri Dec  9 14:51:37 2016
  5723; 59309; 56;1.124;Fri Dec  9 15:20:59 2016
  5843; 60552; 55;1.104;Fri Dec  9 15:41:42 2016
  5935; 61506; 54;1.085;Fri Dec  9 15:57:36 2016
